features	cell_health_modz_target_cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_all_nucleus_roundness_mean	cell_health_modz_target_cc_polyploid_n_objects	cell_health_modz_target_cc_g1_n_objects	cell_health_modz_target_cc_mitosis_n_objects	cell_health_modz_target_vb_num_live_cells	cell_health_modz_target_vb_percent_live	cell_health_modz_target_vb_live_cell_roundness	cell_health_modz_target_cc_all_large_notround_polynuclear_mean	cell_health_modz_target_cc_all_high_h2ax	cell_health_modz_target_cc_early_mitosis_high_h2ax	cell_health_modz_target_cc_g2_n_spots_h2ax_mean	cell_health_modz_target_cc_g2_plus_all_m_count	cell_health_modz_target_cc_early_mitosis_n_objects	cell_health_modz_target_cc_all_nucleus_area_mean	cell_health_modz_target_cc_g1_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_live_cell_area	cell_health_modz_target_cc_polyploid_n_spots_h2ax_mean	cell_health_modz_target_cc_all_n_objects	cell_health_modz_target_cc_cc_g2	cell_health_modz_target_vb_ros_back_mean	cell_health_modz_target_vb_ros_mean	cell_health_modz_target_cc_infection_percentage	cell_health_modz_target_cc_early_mitosis_n_spots_h2ax_mean	cell_health_modz_target_vb_percent_early_apoptosis	cell_health_modz_target_cc_mitosis_high_h2ax	cell_health_modz_target_cc_polynuclear_n_spots_h2ax_mean	cell_health_modz_target_cc_polyploid_high_h2ax	cell_health_modz_target_cc_cc_late_mitosis	cell_health_modz_target_vb_percent_all_apoptosis	cell_health_modz_target_cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_g1_high_h2ax	cell_health_modz_target_cc_cc_mitosis	cell_health_modz_target_cc_all_n_spots_h2ax_mean	cell_health_modz_target_vb_infection_percentage	cell_health_modz_target_cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_s_n_spots_h2ax_mean	cell_health_modz_target_cc_all_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_vb_percent_late_apoptosis	cell_health_modz_target_cc_mitosis_n_spots_h2ax_mean	cell_health_modz_target_cc_g1_n_spots_h2ax_mean	cell_health_modz_target_cc_all_large_round_polyploid_mean	cell_health_modz_target_cc_cc_g1	cell_health_modz_target_cc_s_intensity_nucleus_area_sum	cell_health_modz_target_cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_s_n_objects	cell_health_modz_target_cc_g2_n_objects	cell_health_modz_target_cc_cc_n_objects	cell_health_modz_target_cc_late_mitosis_n_objects	cell_health_modz_target_cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_g2_g1_count	cell_health_modz_target_vb_percent_caspase_dead_only	cell_health_modz_target_cc_polynuclear_n_objects	cell_health_modz_target_cc_cc_early_mitosis	cell_health_modz_target_cc_polynuclear_high_h2ax	cell_health_modz_target_cc_g2_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_cc_n_spots_h2ax_mean	cell_health_modz_target_vb_percent_dead	cell_health_modz_target_cc_cc_s	cell_health_modz_target_cc_late_mitosis_high_h2ax	cell_health_modz_target_cc_s_intensity_nucleus_area_mean	cell_health_modz_target_cc_g2_high_h2ax	cell_health_modz_target_cc_late_mitosis_n_spots_h2ax_mean	cell_health_modz_target_cc_cc_high_h2ax	cell_health_modz_target_vb_percent_dead_only	cell_health_modz_target_cc_s_high_h2ax	cell_health_modz_target_cc_cc_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_s_n_spots_h2ax_per_nucleus_area_mean	cell_health_modz_target_cc_g1_plus_g2_count	cell_health_modz_target_vb_live_cell_width_length
Cells_AreaShape_Center_Y	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0
Cells_AreaShape_Compactness	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
Cells_AreaShape_Eccentricity	-0.0	0.03253111736466297	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.04402042475368224	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.004764860655051086	0.04022750391186998	0.0	0.0	0.01862441911727057	0.020965449629570216	0.008229554672751877	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007498800300714662	-0.0	-0.12686342906003029	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0
Cells_AreaShape_Extent	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.014450427485235569	0.037711011597587656	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.025440248971125765	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.02432943728542159	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.018858784285540123	0.004950608876984208	0.0	0.008431672935031807	-0.0
Cells_AreaShape_Orientation	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.018595525162515614	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.009373608978167748	0.0	-0.0	-0.0	-0.0	0.0	-0.023427824387964365	-0.0	0.0	-0.0	-0.005070645573985192	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.01843590591137458	0.0035383021472605784	-0.0	0.022268187278677125	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0432483753938913	0.0
Cells_AreaShape_Zernike_0_0	0.0	-0.0	-0.0	0.0	0.0	0.002162867257754413	0.005651259165319305	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.022577502183686395	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.005678368898469439	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0
Cells_AreaShape_Zernike_1_1	-0.0	0.010345619245653966	-0.0	-0.0	-0.0	-0.04040901267667474	0.016589004709022224	-0.013620196084773033	0.0	-0.0	0.0	-0.0	0.021130913343692503	-0.0	0.045986897929107574	-0.0	-0.0	0.0	-0.0	0.03092441549469779	-0.01883972280469007	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.02119717052988262	-0.0	0.0	0.06503545129021064	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0166699134821023	0.0	0.0	0.0	-0.0	-0.0	0.0	0.014218366295935154	-0.0	0.0	-0.0	0.0	-0.02853379781693658
Cells_AreaShape_Zernike_2_0	0.0	0.04343438608523441	0.0	-0.0	0.0	0.0	0.011543428488650684	0.0	-0.0	0.0	0.008859167329737799	0.0	-0.0	0.013881446961768748	-0.0	0.0	0.0	0.048068862186072966	-0.0	-0.0	0.07027648158506006	-0.0014123543896974696	-0.0	0.0	-0.0	-0.0	0.0	0.007986032587816843	0.0	-0.0	0.0	-0.0	0.0	0.04975089534240123	-0.0	0.0	0.0203630443408937	0.028946109359745915	-0.05211208918770489	0.0	0.0	0.0	0.0	-0.0	0.0448009042769888	-0.0	0.0	-0.0	0.00033862271184024095	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.011545109580392707	0.0	0.0	0.0	0.0	0.0	0.0	-0.013511267083302435	0.016334658602548492	0.0	0.004958701973296983	-0.0	-0.0
Cells_AreaShape_Zernike_2_2	-0.0	-0.03946704132865714	0.0	0.03469035511303109	0.0	0.023399370164567217	0.0	0.018623019323541913	0.0	0.023782461720838848	0.018282199732982948	0.009380041973745082	-0.056944602554876114	-0.0	-0.0	0.004195942742418816	-0.07393334891049527	-0.0	0.01164131325393339	-0.015989961179833107	0.11205876630635836	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.013722407177336502	-0.0	-0.0035540023206259578	0.014696027934702446	0.0	0.0	0.04515091469469885	0.0	-0.0	0.0	0.0867217251070063	-0.05757904258984544	0.045465391325559386	0.013371533122578124	0.0	0.016086345429258787	0.024344618254400926	0.027609701051010984	0.0	0.0	-0.0	0.0032257147143088714	0.006803530993698591	-0.0	-0.0	0.0	0.040952412617227915	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.04165489672150037	-0.0	0.029011073125387477	0.008069552298617635	0.04157756690604499	0.016241453668808886	0.024476655981116334
Cells_AreaShape_Zernike_3_3	-0.0	0.021237719257655177	-0.0	-0.0	0.0	0.0	-0.0	0.02118420186340738	-0.0	-0.0	-0.055224840140480236	-0.019828774527326617	0.05154914128451381	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.039633409276055055	0.03075023367918694	0.0	0.0	-0.002573530038873235	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.023263033689222733	-0.0	0.0	-0.0	-0.00016947634550299457	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.018047595798891383	0.0	-0.0	0.0	-0.06397070200769431	-0.029038600664664963	-0.0	-0.020658761290911133	0.0	-0.0	-0.014111618796027998	-0.02388402092690362	0.0	0.03646821952968259
Cells_AreaShape_Zernike_4_0	0.0	0.05781704303712491	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.007788399077376461	-0.0	-0.0	-0.0	0.10782638961334517	0.0	-0.0	0.0	-0.0	0.0	0.022096404545709512	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.021764958875814037	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.026376494450978963	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
Cells_AreaShape_Zernike_4_2	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.007323437664307276	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.05538375389102806	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.009418869880287454	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.02564217924268133	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0
Cells_AreaShape_Zernike_5_1	0.0	0.03476919139681424	-0.0	-0.028479089582907503	-0.0	-0.0	0.0	-0.06341614417234437	-0.0031720223400920817	0.0	-0.0	-0.0	0.02474469486037458	-0.0395426221695343	0.044796730262214195	-0.0	0.0042016411362036585	-0.0	-0.00844466107648166	0.020949405227220847	-0.04461527420147907	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.016879486064501556	-0.0	0.0	-0.019749185411933795	0.046201183753864436	-0.0	0.0	0.0	0.02828843543926773	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.019089965456259152	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0381055036344538	-0.0	-0.012649160883402665	0.0	-0.0473964158862862
Cells_AreaShape_Zernike_5_3	-0.0	0.0	-0.0	-0.03569274569417267	0.0	-0.04397911715784644	0.009579248940302714	-0.1129668456890194	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.06430120354755513	-0.0	-0.04225284587649664	0.0	-0.11333172393316147	-0.016682887890187768	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.06616845531993937	0.0	0.0	-0.0	0.03720070601157276	-0.0057825607775792084	0.0	0.010289795215147755	0.0020407565721986794	0.01844182563543386	-0.06434878891180948	-0.0	-0.020876333119350665	-0.0	-0.05270674093742272	-0.0	-0.0	-0.0	-0.0	-0.027499015135075314	0.0	-0.0	-0.0	0.0	-0.009631191963076685	-0.07025164702493839	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.08774415741947955	-0.08044924188851915
Cells_AreaShape_Zernike_5_5	-0.0	-0.01291120360955822	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.004011325465240253	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005154973661673456	0.0001240628195734133	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.014361441372672286	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0
