Metadata_gene_name	Metadata_pert_name	Metadata_cell_line	n_measurements_paint	data_type_paint	Metadata_Well	Metadata_Plate	guide	cell_id	n_measurements_health	data_type_health
AKT1	AKT1-1	A549	6	cell_painting	A03	SQ00014611	AKT1-1	A549	4	cell_health
AKT1	AKT1-1	A549	6	cell_painting	O22	SQ00014611	AKT1-1	A549	4	cell_health
AKT1	AKT1-1	A549	6	cell_painting	A03	SQ00014610	AKT1-1	A549	4	cell_health
AKT1	AKT1-1	A549	6	cell_painting	O22	SQ00014610	AKT1-1	A549	4	cell_health
AKT1	AKT1-1	A549	6	cell_painting	A03	SQ00014612	AKT1-1	A549	4	cell_health
AKT1	AKT1-1	A549	6	cell_painting	O22	SQ00014612	AKT1-1	A549	4	cell_health
AKT1	AKT1-2	A549	6	cell_painting	A05	SQ00014611	AKT1-2	A549	4	cell_health
AKT1	AKT1-2	A549	6	cell_painting	O20	SQ00014611	AKT1-2	A549	4	cell_health
AKT1	AKT1-2	A549	6	cell_painting	A05	SQ00014610	AKT1-2	A549	4	cell_health
AKT1	AKT1-2	A549	6	cell_painting	O20	SQ00014610	AKT1-2	A549	4	cell_health
AKT1	AKT1-2	A549	6	cell_painting	A05	SQ00014612	AKT1-2	A549	4	cell_health
AKT1	AKT1-2	A549	6	cell_painting	O20	SQ00014612	AKT1-2	A549	4	cell_health
ARID1B	ARID1B-1	A549	6	cell_painting	G20	SQ00014611	ARID1B-1	A549	4	cell_health
ARID1B	ARID1B-1	A549	6	cell_painting	I05	SQ00014611	ARID1B-1	A549	4	cell_health
ARID1B	ARID1B-1	A549	6	cell_painting	G20	SQ00014610	ARID1B-1	A549	4	cell_health
ARID1B	ARID1B-1	A549	6	cell_painting	I05	SQ00014610	ARID1B-1	A549	4	cell_health
ARID1B	ARID1B-1	A549	6	cell_painting	G20	SQ00014612	ARID1B-1	A549	4	cell_health
ARID1B	ARID1B-1	A549	6	cell_painting	I05	SQ00014612	ARID1B-1	A549	4	cell_health
ARID1B	ARID1B-2	A549	6	cell_painting	G18	SQ00014611	ARID1B-2	A549	4	cell_health
ARID1B	ARID1B-2	A549	6	cell_painting	I07	SQ00014611	ARID1B-2	A549	4	cell_health
ARID1B	ARID1B-2	A549	6	cell_painting	G18	SQ00014610	ARID1B-2	A549	4	cell_health
ARID1B	ARID1B-2	A549	6	cell_painting	I07	SQ00014610	ARID1B-2	A549	4	cell_health
ARID1B	ARID1B-2	A549	6	cell_painting	G18	SQ00014612	ARID1B-2	A549	4	cell_health
ARID1B	ARID1B-2	A549	6	cell_painting	I07	SQ00014612	ARID1B-2	A549	4	cell_health
ATF4	ATF4-1	A549	6	cell_painting	G16	SQ00014611	ATF4-1	A549	4	cell_health
ATF4	ATF4-1	A549	6	cell_painting	I09	SQ00014611	ATF4-1	A549	4	cell_health
ATF4	ATF4-1	A549	6	cell_painting	G16	SQ00014610	ATF4-1	A549	4	cell_health
ATF4	ATF4-1	A549	6	cell_painting	I09	SQ00014610	ATF4-1	A549	4	cell_health
ATF4	ATF4-1	A549	6	cell_painting	G16	SQ00014612	ATF4-1	A549	4	cell_health
ATF4	ATF4-1	A549	6	cell_painting	I09	SQ00014612	ATF4-1	A549	4	cell_health
ATF4	ATF4-2	A549	6	cell_painting	G14	SQ00014611	ATF4-2	A549	4	cell_health
ATF4	ATF4-2	A549	6	cell_painting	I11	SQ00014611	ATF4-2	A549	4	cell_health
ATF4	ATF4-2	A549	6	cell_painting	G14	SQ00014610	ATF4-2	A549	4	cell_health
ATF4	ATF4-2	A549	6	cell_painting	I11	SQ00014610	ATF4-2	A549	4	cell_health
ATF4	ATF4-2	A549	6	cell_painting	G14	SQ00014612	ATF4-2	A549	4	cell_health
ATF4	ATF4-2	A549	6	cell_painting	I11	SQ00014612	ATF4-2	A549	4	cell_health
ATP50	ATP50-1	A549	6	cell_painting	G12	SQ00014611	ATP50-1	A549	4	cell_health
ATP50	ATP50-1	A549	6	cell_painting	I13	SQ00014611	ATP50-1	A549	4	cell_health
ATP50	ATP50-1	A549	6	cell_painting	G12	SQ00014610	ATP50-1	A549	4	cell_health
ATP50	ATP50-1	A549	6	cell_painting	I13	SQ00014610	ATP50-1	A549	4	cell_health
ATP50	ATP50-1	A549	6	cell_painting	G12	SQ00014612	ATP50-1	A549	4	cell_health
ATP50	ATP50-1	A549	6	cell_painting	I13	SQ00014612	ATP50-1	A549	4	cell_health
ATP50	ATP50-2	A549	6	cell_painting	G10	SQ00014611	ATP50-2	A549	4	cell_health
ATP50	ATP50-2	A549	6	cell_painting	I15	SQ00014611	ATP50-2	A549	4	cell_health
ATP50	ATP50-2	A549	6	cell_painting	G10	SQ00014610	ATP50-2	A549	4	cell_health
ATP50	ATP50-2	A549	6	cell_painting	I15	SQ00014610	ATP50-2	A549	4	cell_health
ATP50	ATP50-2	A549	6	cell_painting	G10	SQ00014612	ATP50-2	A549	4	cell_health
ATP50	ATP50-2	A549	6	cell_painting	I15	SQ00014612	ATP50-2	A549	4	cell_health
AURKB	AURKB-2	A549	6	cell_painting	G06	SQ00014611	AURKB-2	A549	4	cell_health
AURKB	AURKB-2	A549	6	cell_painting	I19	SQ00014611	AURKB-2	A549	4	cell_health
AURKB	AURKB-2	A549	6	cell_painting	G06	SQ00014610	AURKB-2	A549	4	cell_health
AURKB	AURKB-2	A549	6	cell_painting	I19	SQ00014610	AURKB-2	A549	4	cell_health
AURKB	AURKB-2	A549	6	cell_painting	G06	SQ00014612	AURKB-2	A549	4	cell_health
AURKB	AURKB-2	A549	6	cell_painting	I19	SQ00014612	AURKB-2	A549	4	cell_health
BCL2	BCL2-1	A549	6	cell_painting	G04	SQ00014611	BCL2-1	A549	4	cell_health
BCL2	BCL2-1	A549	6	cell_painting	I21	SQ00014611	BCL2-1	A549	4	cell_health
BCL2	BCL2-1	A549	6	cell_painting	G04	SQ00014610	BCL2-1	A549	4	cell_health
BCL2	BCL2-1	A549	6	cell_painting	I21	SQ00014610	BCL2-1	A549	4	cell_health
BCL2	BCL2-1	A549	6	cell_painting	G04	SQ00014612	BCL2-1	A549	4	cell_health
BCL2	BCL2-1	A549	6	cell_painting	I21	SQ00014612	BCL2-1	A549	4	cell_health
BCL2	BCL2-2	A549	6	cell_painting	G02	SQ00014611	BCL2-2	A549	4	cell_health
BCL2	BCL2-2	A549	6	cell_painting	I23	SQ00014611	BCL2-2	A549	4	cell_health
BCL2	BCL2-2	A549	6	cell_painting	G02	SQ00014610	BCL2-2	A549	4	cell_health
BCL2	BCL2-2	A549	6	cell_painting	I23	SQ00014610	BCL2-2	A549	4	cell_health
BCL2	BCL2-2	A549	6	cell_painting	G02	SQ00014612	BCL2-2	A549	4	cell_health
BCL2	BCL2-2	A549	6	cell_painting	I23	SQ00014612	BCL2-2	A549	4	cell_health
BCL2L2	BCL2L2-1	A549	6	cell_painting	E24	SQ00014611	BCL2L2-1	A549	4	cell_health
BCL2L2	BCL2L2-1	A549	6	cell_painting	K01	SQ00014611	BCL2L2-1	A549	4	cell_health
BCL2L2	BCL2L2-1	A549	6	cell_painting	E24	SQ00014610	BCL2L2-1	A549	4	cell_health
BCL2L2	BCL2L2-1	A549	6	cell_painting	K01	SQ00014610	BCL2L2-1	A549	4	cell_health
BCL2L2	BCL2L2-1	A549	6	cell_painting	E24	SQ00014612	BCL2L2-1	A549	4	cell_health
BCL2L2	BCL2L2-1	A549	6	cell_painting	K01	SQ00014612	BCL2L2-1	A549	4	cell_health
BCL2L2	BCL2L2-2	A549	6	cell_painting	E22	SQ00014611	BCL2L2-2	A549	4	cell_health
BCL2L2	BCL2L2-2	A549	6	cell_painting	K03	SQ00014611	BCL2L2-2	A549	4	cell_health
BCL2L2	BCL2L2-2	A549	6	cell_painting	E22	SQ00014610	BCL2L2-2	A549	4	cell_health
BCL2L2	BCL2L2-2	A549	6	cell_painting	K03	SQ00014610	BCL2L2-2	A549	4	cell_health
BCL2L2	BCL2L2-2	A549	6	cell_painting	E22	SQ00014612	BCL2L2-2	A549	4	cell_health
BCL2L2	BCL2L2-2	A549	6	cell_painting	K03	SQ00014612	BCL2L2-2	A549	4	cell_health
BCL2L2	BCL2L2-4	A549	6	cell_painting	A16	SQ00014611	BCL2L2-4	A549	4	cell_health
BCL2L2	BCL2L2-4	A549	6	cell_painting	O09	SQ00014611	BCL2L2-4	A549	4	cell_health
BCL2L2	BCL2L2-4	A549	6	cell_painting	A16	SQ00014610	BCL2L2-4	A549	4	cell_health
BCL2L2	BCL2L2-4	A549	6	cell_painting	O09	SQ00014610	BCL2L2-4	A549	4	cell_health
BCL2L2	BCL2L2-4	A549	6	cell_painting	A16	SQ00014612	BCL2L2-4	A549	4	cell_health
BCL2L2	BCL2L2-4	A549	6	cell_painting	O09	SQ00014612	BCL2L2-4	A549	4	cell_health
BRAF	BRAF-2	A549	6	cell_painting	A09	SQ00014611	BRAF-2	A549	4	cell_health
BRAF	BRAF-2	A549	6	cell_painting	O16	SQ00014611	BRAF-2	A549	4	cell_health
BRAF	BRAF-2	A549	6	cell_painting	A09	SQ00014610	BRAF-2	A549	4	cell_health
BRAF	BRAF-2	A549	6	cell_painting	O16	SQ00014610	BRAF-2	A549	4	cell_health
BRAF	BRAF-2	A549	6	cell_painting	A09	SQ00014612	BRAF-2	A549	4	cell_health
BRAF	BRAF-2	A549	6	cell_painting	O16	SQ00014612	BRAF-2	A549	4	cell_health
BRAF1	BRAF1-1	A549	6	cell_painting	A07	SQ00014611	BRAF1-1	A549	4	cell_health
BRAF1	BRAF1-1	A549	6	cell_painting	O18	SQ00014611	BRAF1-1	A549	4	cell_health
BRAF1	BRAF1-1	A549	6	cell_painting	A07	SQ00014610	BRAF1-1	A549	4	cell_health
BRAF1	BRAF1-1	A549	6	cell_painting	O18	SQ00014610	BRAF1-1	A549	4	cell_health
