features	cell_health_median_target_vb_live_cell_roundness	cell_health_median_target_cc_g1_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_mitosis_high_h2ax	cell_health_median_target_cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_cc_s	cell_health_median_target_cc_early_mitosis_n_objects	cell_health_median_target_cc_polynuclear_high_h2ax	cell_health_median_target_cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_late_mitosis_n_objects	cell_health_median_target_cc_s_intensity_nucleus_area_mean	cell_health_median_target_cc_all_n_objects	cell_health_median_target_cc_cc_g2	cell_health_median_target_vb_percent_early_apoptosis	cell_health_median_target_cc_cc_n_spots_h2ax_mean	cell_health_median_target_cc_s_high_h2ax	cell_health_median_target_cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_vb_ros_back_mean	cell_health_median_target_cc_polyploid_n_objects	cell_health_median_target_cc_cc_n_objects	cell_health_median_target_vb_percent_late_apoptosis	cell_health_median_target_cc_g2_n_objects	cell_health_median_target_vb_live_cell_width_length	cell_health_median_target_cc_cc_high_h2ax	cell_health_median_target_cc_polyploid_high_h2ax	cell_health_median_target_cc_mitosis_n_spots_h2ax_mean	cell_health_median_target_cc_g2_high_h2ax	cell_health_median_target_cc_s_intensity_nucleus_area_sum	cell_health_median_target_cc_s_n_objects	cell_health_median_target_cc_s_n_spots_h2ax_mean	cell_health_median_target_cc_all_high_h2ax	cell_health_median_target_cc_late_mitosis_high_h2ax	cell_health_median_target_cc_early_mitosis_high_h2ax	cell_health_median_target_vb_percent_dead	cell_health_median_target_cc_polynuclear_n_objects	cell_health_median_target_vb_percent_caspase_dead_only	cell_health_median_target_cc_g2_plus_all_m_count	cell_health_median_target_cc_g1_n_spots_h2ax_mean	cell_health_median_target_cc_mitosis_n_objects	cell_health_median_target_cc_cc_late_mitosis	cell_health_median_target_cc_g2_g1_count	cell_health_median_target_vb_percent_live	cell_health_median_target_cc_g2_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_vb_infection_percentage	cell_health_median_target_cc_cc_early_mitosis	cell_health_median_target_vb_percent_dead_only	cell_health_median_target_vb_live_cell_area	cell_health_median_target_cc_infection_percentage	cell_health_median_target_cc_polynuclear_n_spots_h2ax_mean	cell_health_median_target_cc_all_nucleus_area_mean	cell_health_median_target_cc_all_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_all_n_spots_h2ax_mean	cell_health_median_target_cc_cc_mitosis	cell_health_median_target_vb_percent_all_apoptosis	cell_health_median_target_cc_g1_n_objects	cell_health_median_target_cc_all_large_round_polyploid_mean	cell_health_median_target_cc_cc_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_all_large_notround_polynuclear_mean	cell_health_median_target_cc_g2_n_spots_h2ax_mean	cell_health_median_target_cc_polyploid_n_spots_h2ax_mean	cell_health_median_target_cc_g1_plus_g2_count	cell_health_median_target_cc_g1_high_h2ax	cell_health_median_target_vb_ros_mean	cell_health_median_target_cc_late_mitosis_n_spots_h2ax_mean	cell_health_median_target_cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_cc_g1	cell_health_median_target_cc_all_nucleus_roundness_mean	cell_health_median_target_cc_s_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_vb_num_live_cells	cell_health_median_target_cc_early_mitosis_n_spots_h2ax_mean
Cells_AreaShape_Center_Y	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0
Cells_AreaShape_Compactness	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Eccentricity	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0022412514283368444	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.005632871541434813	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.022555053696422227	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0
Cells_AreaShape_Extent	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.002957238355561405	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.013344952574311213	0.0	0.0	-0.0	0.0	0.0	-0.008259164104059332	0.0	0.0	0.027035413589938356	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.028064698851671854	-0.0	-0.0	0.0	0.0	0.003595618539498151	0.0	-0.005899437398618335	-0.0	-0.0	0.0	0.0	0.030447818844573468	-0.0	0.0	-0.0	-0.03051776903454327	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0
Cells_AreaShape_Orientation	0.0	-0.0	-0.0	-0.0	-0.0	0.014071134012123045	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.02359282361122824	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.04366106826313245	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.043916322355810306	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.010388205176278212	-0.0	-0.0	-0.0	-0.034632976838302285	0.0	-0.0	-0.0	0.0	-0.02629324896767675	0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_0_0	0.0015861948853573254	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.006823133323659121	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.003676946198272938	0.0	0.0	-0.0	0.0	-0.0	-0.0016822847915928336	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.013382188218165723	0.0	-0.022693923932393296	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.003489607246603832	-0.0
Cells_AreaShape_Zernike_1_1	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.019991505332783793	-0.0	0.0	-0.0	-0.0	-0.006136856673829746	-0.0	-0.0	-0.004489453745366295	-0.0	-0.024173266264154673	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.020032632050889173	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.051798598411228046	0.0	-0.0	-0.0	0.0194726552722434	-0.0	-0.0	-0.0	-0.0	-0.0	0.020322684857254296	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0030636050362944805	-0.0	-0.021537891512081735	-0.0
Cells_AreaShape_Zernike_2_0	-0.0	0.00022567908093900987	-0.0	0.0	0.03699126239491492	-0.0	0.0	0.0	0.0	0.0	0.0	-0.01632653276660679	0.0	-0.0	0.0	0.0004417466884960748	0.0	0.0	0.0	-0.010791720949261894	-0.029349889532899475	0.0	-0.022876241680487214	0.0	0.0	0.0	0.0	-0.006540608118146838	-0.01600350804305198	0.04016241816613953	0.04591033493618153	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.03413009008100986	-0.0	0.0	0.0	0.05365430460345734	0.06606855825688494	0.0	-0.0	-0.004151941238067285	0.0	0.015813366015569517	-0.0	0.0	0.018229060030446827	0.006441990279057623	-0.0	-0.0	0.0	0.0	0.0	0.038679141396483124	0.0	-0.0050009640797519525	0.0
Cells_AreaShape_Zernike_2_2	0.019851984829952308	0.040889517034810675	0.0	0.0	-0.0	-0.0006125742271300406	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.01087044104249856	-0.0	0.04815017098418205	0.05216322229793255	0.0	-0.0	0.0	0.0026755166770208003	-0.0	0.027907499433709397	0.020432998741218077	0.046012027714195776	0.0	0.0	0.0	0.0	0.0	0.0533120912971121	0.039296020226381276	-0.0	0.0	-0.014954932105232159	0.0	0.0	-0.03260209776625975	0.06610584833428113	0.0	-0.0	-0.0	0.014401528903570843	0.0	0.0	-0.0	-0.0	-0.018093260285618796	0.0	-0.0	-0.00979313100124224	0.021922449099597213	0.033922990067485934	-0.0	-0.0	0.01615572909806117	-0.0	0.03662690308145243	-0.0	0.0	-0.0	0.019626183471928477	-0.0	0.0	0.0	-0.0	0.04470202080263053	-0.0	0.0	0.01974021321121991	0.0
Cells_AreaShape_Zernike_3_3	0.025539837214127607	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0764732190448005	-0.0	-0.0016279952561083035	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.039886508870379915	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.03817295118369441	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.025168713355929146	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.00779558243111722	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.006177050306678638	-0.014971780275309278	-0.0	-0.0	-0.0	-0.002389714575660805	-0.0	-0.0	-0.0	-0.0	-0.07153449006073616	0.011341467378525975	-0.0	0.0	-0.0
Cells_AreaShape_Zernike_4_0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.032557530888420644	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.024434784494074022	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.042341983289210204	0.0	0.0	0.0	0.012385092595477971	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.00881676593956167	-0.0	-0.0	0.0
Cells_AreaShape_Zernike_4_2	0.0	0.0	0.0	0.0	-0.0	-0.0	0.006562344227418811	-0.0	0.0	0.0	-0.0	0.0	-0.032351220695383105	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.02900082708660561	-0.0	-0.0	0.0	0.030964336209920434	0.0	-0.012250419894257628	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.009349162304532753	0.009358625806911968	0.017334394879316723	-0.0	0.0	0.005990997356559053	-0.0246624744655863	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.009263834486727162	-0.0007478312554817038	0.0	0.0	0.0
Cells_AreaShape_Zernike_5_1	-0.004497639766779171	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.07417647389885966	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.03501113816569518	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.02802277146438527	0.030117440057489286	0.028495485975005286	-0.0	-0.010148380462664275	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.02391853988372088	0.0	0.0	0.0	0.015292297306846801	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_5_3	-0.08114454102868879	0.0	0.0	0.0	0.0	-0.08956672331557612	0.0	0.0	-0.0	-0.04815241821135923	-0.0	-0.07427364583210792	0.012404966726350358	-0.0	0.0	-0.0	-0.0	-0.12483954664537142	-0.006162235961965823	-0.0761906250451603	-0.043084750843308796	-0.0	-0.0648560527686035	0.03250313302182531	0.0	0.0	-0.0	-0.08867540020062044	-0.09073395139104365	-0.0	0.07429161643808627	0.0	-0.0	-0.0	-0.03981314643239879	-0.0007329639112594997	0.0	0.0	-0.0	-0.03840046743907027	-0.0	0.0	0.0	0.0	0.0	0.0	0.06523203684788681	0.0	-0.0	0.013314339219103508	0.05494929675353248	0.07490752388244784	-0.0	-0.01264693737077701	-0.03676138742017076	0.008777736522246745	0.0	-0.0	0.0	0.0	0.11451704564416558	-0.0	-0.09166949115418244	-0.0	0.0	0.07461760867255131	0.0	-0.0	-0.04109448497086933	-0.0
Cells_AreaShape_Zernike_5_5	0.005633053780957701	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.00428565077920887	0.0	-0.0	0.0	0.0	-0.0	-0.02332893196773276	0.0	4.106124392661318e-05	-0.0	0.003449918327374782	0.0	0.0	0.003198816312501227	-0.0	-0.0	0.0	0.0006476523978789289	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.004927992465504189	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.01079827084277308	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.006738681503355649	-0.0	-0.0	-0.0	-0.005024115142035884	0.0	0.019056005144576223	-0.0
