features	cell_health_median_target_vb_infection_percentage	cell_health_median_target_vb_ros_mean	cell_health_median_target_vb_live_cell_area	cell_health_median_target_cc_s_intensity_nucleus_area_mean	cell_health_median_target_cc_g1_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_cc_mitosis	cell_health_median_target_cc_polynuclear_high_h2ax	cell_health_median_target_cc_cc_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_polynuclear_n_objects	cell_health_median_target_cc_g2_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_s_n_spots_h2ax_mean	cell_health_median_target_vb_percent_live	cell_health_median_target_cc_g2_g1_count	cell_health_median_target_cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_all_nucleus_roundness_mean	cell_health_median_target_cc_s_intensity_nucleus_area_sum	cell_health_median_target_vb_live_cell_width_length	cell_health_median_target_vb_percent_late_apoptosis	cell_health_median_target_cc_early_mitosis_high_h2ax	cell_health_median_target_cc_infection_percentage	cell_health_median_target_cc_early_mitosis_n_objects	cell_health_median_target_cc_cc_n_spots_h2ax_mean	cell_health_median_target_vb_num_live_cells	cell_health_median_target_cc_g2_n_spots_h2ax_mean	cell_health_median_target_cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_vb_percent_dead_only	cell_health_median_target_cc_mitosis_n_objects	cell_health_median_target_cc_mitosis_high_h2ax	cell_health_median_target_cc_all_nucleus_area_mean	cell_health_median_target_cc_cc_late_mitosis	cell_health_median_target_cc_polyploid_n_spots_h2ax_mean	cell_health_median_target_cc_cc_n_objects	cell_health_median_target_cc_cc_high_h2ax	cell_health_median_target_cc_polynuclear_n_spots_h2ax_mean	cell_health_median_target_cc_cc_g2	cell_health_median_target_vb_percent_early_apoptosis	cell_health_median_target_cc_mitosis_n_spots_h2ax_mean	cell_health_median_target_vb_percent_all_apoptosis	cell_health_median_target_cc_all_large_round_polyploid_mean	cell_health_median_target_cc_all_large_notround_polynuclear_mean	cell_health_median_target_vb_percent_caspase_dead_only	cell_health_median_target_cc_s_n_objects	cell_health_median_target_cc_polyploid_n_objects	cell_health_median_target_cc_all_n_objects	cell_health_median_target_vb_live_cell_roundness	cell_health_median_target_cc_cc_early_mitosis	cell_health_median_target_cc_all_high_h2ax	cell_health_median_target_cc_s_high_h2ax	cell_health_median_target_cc_polyploid_high_h2ax	cell_health_median_target_cc_g1_plus_g2_count	cell_health_median_target_cc_all_n_spots_h2ax_mean	cell_health_median_target_cc_g2_n_objects	cell_health_median_target_cc_g2_high_h2ax	cell_health_median_target_cc_cc_s	cell_health_median_target_cc_g1_n_objects	cell_health_median_target_vb_ros_back_mean	cell_health_median_target_cc_late_mitosis_n_spots_h2ax_mean	cell_health_median_target_cc_g1_high_h2ax	cell_health_median_target_vb_percent_dead	cell_health_median_target_cc_late_mitosis_n_objects	cell_health_median_target_cc_g1_n_spots_h2ax_mean	cell_health_median_target_cc_late_mitosis_high_h2ax	cell_health_median_target_cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_g2_plus_all_m_count	cell_health_median_target_cc_early_mitosis_n_spots_h2ax_mean	cell_health_median_target_cc_cc_g1	cell_health_median_target_cc_all_n_spots_h2ax_per_nucleus_area_mean	cell_health_median_target_cc_s_n_spots_h2ax_per_nucleus_area_mean
Cells_AreaShape_Center_Y	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Compactness	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.008628036482014826	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.002015260803174985	-0.012833009232933679	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0
Cells_AreaShape_Eccentricity	-0.0014428924429731478	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.004020856290768992	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.037199805811320215	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.03920543403407418	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.016199821730638424	-0.0
Cells_AreaShape_Extent	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0042570128485634965	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.01871485387728167	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.022290900942895275	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.008177487761055695	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Orientation	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0
Cells_AreaShape_Zernike_0_0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.008086482082203564	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.03385581554127295	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0
Cells_AreaShape_Zernike_1_1	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0007803080720677304	0.0	-0.0	-0.00013297852108013083	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.005611284887455183	0.0	-0.0	0.0	-0.011641484900567524	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.009987259093772195	-0.0
Cells_AreaShape_Zernike_2_0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.023583181015058498	0.0	-0.0	-0.0	0.0	-0.01165117155713331	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.04166483745626596	-0.0	0.0	-0.0	0.013237899304870172	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.030787675748194066	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0
Cells_AreaShape_Zernike_2_2	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.007722215469162393	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0
Cells_AreaShape_Zernike_3_3	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.04710277376830456	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.005114598613964576	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.010207941191886657	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0
