features	cc_edu_pos_alexa647_intensity_nucleus_area_mean	cc_cc_n_objects	cc_g2_ph3_pos_n_spots_per_nucleus_area_mean	cc_edu_pos_n_spots_per_nucleus_area_mean	vb_percent_dead_only	vb_percent_dead	cc_polyploid_n_objects	cc_polyploid_high_n_spots_h2ax_mean	cc_edu_pos_high_n_spots_h2ax_mean	cc_cc_g2_ph3_neg_mean	vb_live_cell_width_length	vb_live_cell_area	cc_polynuclear_n_spots_mean	cc_g2_ph3_neg_high_n_spots_h2ax_mean	cc_g1_n_objects	cc_cc_g1_mean	cc_mitosis_ph3_pos_n_spots_mean	cc_g2_ph3_pos_n_objects	cc_cc_ph3_pos_hoechst_mitosis_mean	vb_percent_live	cc_polynuclear_high_n_spots_h2ax_mean	cc_g1_n_spots_per_nucleus_area_mean	vb_percent_all_apoptosis	cc_infection_percentage	cc_all_nucleus_roundness_mean	cc_cc_n_spots_per_nucleus_area_mean	cc_g2_ph3_neg_n_spots_mean	cc_cc_g2_ph3_pos_early_mitosis_mean	cc_all_large_round_polyploid_mean	cc_mitosis_ph3_neg_n_objects	vb_ros_back_mean	vb_percent_all_late_apoptosis	cc_g2_ph3_neg_n_objects	cc_all_nucleus_area_mean	cc_edu_pos_alexa647_intensity_nucleus_area_sum	cc_mitosis_ph3_pos_n_objects	cc_polynuclear_n_spots_per_nucleus_area_mean	cc_mitosis_ph3_neg_high_n_spots_h2ax_mean	cc_mitosis_ph3_pos_n_spots_per_nucleus_area_mean	cc_cc_edu_pos_mean	vb_num_live_cells	vb_infection_percentage	vb_percent_all_early_apoptosis	cc_edu_pos_n_spots_mean	cc_all_high_n_spots_h2ax_mean	vb_live_cell_roundness	cc_g1_plus_g2	vb_ros_mean	cc_cc_n_spots_mean	cc_cc_high_n_spots_h2ax_mean	cc_polynuclear_n_objects	cc_g1_high_n_spots_h2ax_mean	cc_g2_plus_all_m	cc_mitosis_ph3_neg_n_spots_per_nucleus_area_mean	cc_all_n_spots_per_nucleus_area_mean	cc_g1_n_spots_mean	cc_cc_ph3_neg_hoechst_late_mitosis_mean	cc_g2_ph3_neg_n_spots_per_nucleus_area_mean	cc_all_n_objects	cc_g2_g1	cc_all_n_spots_mean	cc_polyploid_n_spots_mean	cc_mitosis_ph3_pos_high_n_spots_h2ax_mean	cc_g2_ph3_pos_n_spots_mean	vb_percent_caspase_dead_only	cc_edu_pos_n_objects	cc_polyploid_n_spots_per_nucleus_area_mean	cc_all_large_notround_polynuclear_mean	cc_g2_ph3_pos_high_n_spots_h2ax_mean	cc_mitosis_ph3_neg_n_spots_mean
Cells_AreaShape_Area	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0
Cells_AreaShape_Center_X	0.0	0.004140987077527651	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.007043893734064362	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.007725397117893798	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.006317465073793524	-0.0	0.0	0.0	0.007158932707451464	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.006539370735683713	0.0	0.0	-0.0	0.0
Cells_AreaShape_Center_Y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.005131388360889139	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056031937983927315	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0014830467876814418	0.0	0.0
Cells_AreaShape_EulerNumber	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cells_AreaShape_Extent	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.00015684936929824642	-0.0	-0.0	-0.04504444737588218	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.02257370487885017	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.013028190025950712	0.0	0.0	0.0	0.06488466700880013	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.011707535486780867	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0
Cells_AreaShape_MaxFeretDiameter	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.01398684263413903	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0
Cells_AreaShape_MaximumRadius	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0
Cells_AreaShape_MeanRadius	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0
Cells_AreaShape_MedianRadius	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0
Cells_AreaShape_MinFeretDiameter	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.00033825447455456954	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0
