Image_Metadata_Well	SQ00014614	gene_name	pert_name	broad_sample	cell_line
A01	2502	EMPTY	EMPTY		ES2
A02	1987	MCL1	MCL1-5		ES2
A03	2549	AKT1	AKT1-1	BRDN0001054908	ES2
A04	2579	KRAS	KRAS-2B		ES2
A05	3059	AKT1	AKT1-2	BRDN0001055115	ES2
A06	2729	EMPTY	EMPTY		ES2
A07	2161	BRAF1	BRAF1-1	BRDN0000986682	ES2
A08	3198	EMPTY	EMPTY		ES2
A09	2395	BRAF	BRAF-2	BRDN0000986702	ES2
A10	1824	MYC	MYC-2		ES2
A11	1993	BRD4	BRD4-1	BRDN0000733514	ES2
A12	943	MYC	MYC-1		ES2
A13	1647	BRD4	BRD4-2	BRDN0000733577	ES2
A14	2507	MCL1	MCL1-2		ES2
A15	1510	CDK4	CDK4-1	BRDN0001053869	ES2
A16	2403	BCL2L2	BCL2L2-4		ES2
A17	911	CDK4	CDK4-2	BRDN0001053895	ES2
A18	2330	MAPK1	MAPK1-2		ES2
A19	2943	CHEK2	CHEK2-1	BRDN0000586287	ES2
A20	1554	MAPK1	MAPK1-1		ES2
A21	2891	CHEK2	CHEK2-2	BRDN0000585854	ES2
A22	2178	KRAS	KRAS-2A		ES2
A23	2174	CSNK1A1	CSNK1A1-1	BRDN0001065659	ES2
A24	2221	KRAS	KRAS-1		ES2
B01	3188	Chr2	Chr2-1		ES2
B02	2399	PPIB	PPIB-2		ES2
B03	1718	POLR2D	POLR2D-2		ES2
B04	2053	EMPTY	EMPTY		ES2
B05	2980	Chr2	Chr2-4		ES2
B06	1130	PSMA1	PSMA1-2		ES2
B07	3259	PSMA1	PSMA1-1		ES2
B08	1925	Chr2	Chr2-5		ES2
B09	3315	EMPTY	EMPTY		ES2
B10	2080	ORC4	ORC4-1		ES2
B11	2763	EMPTY	EMPTY		ES2
B12	3320	Chr2	Chr2-2		ES2
B13	3809	Luc	Luc-1	BRDN0000585635	ES2
B14	1716	EMPTY	EMPTY		ES2
B15	3754	Luc	Luc-1	BRDN0000585635	ES2
B16	1878	EMPTY	EMPTY		ES2
B17	2671	EMPTY	EMPTY		ES2
B18	1812	EMPTY	EMPTY		ES2
B19	2364	EMPTY	EMPTY		ES2
B20	2705	EMPTY	EMPTY		ES2
B21	2362	PPIB	PPIB-1		ES2
B22	2666	LacZ	LacZ-3	BRDN0000585800	ES2
B23	2903	EMPTY	EMPTY		ES2
B24	2021	LacZ	LacZ-3	BRDN0000585800	ES2
C01	2260	CSNK1A1	CSNK1A1-2	BRDN0000585480	ES2
C02	2166	HIF1a	HIF1a-2		ES2
C03	2280	CTNNB1	CTNNB1-1	BRDN0001065286	ES2
C04	3081	HIF1a	HIF1a-1		ES2
C05	2778	CTNNB1	CTNNB1-2	BRDN0000579714	ES2
C06	240	GPX4	GPX4-2		ES2
C07	2682	DOT1L	DOT1L-1	BRDN0001057300	ES2
C08	445	GPX4	GPX4-1		ES2
C09	3125	DOT1L	DOT1L-2	BRDN0001057286	ES2
C10	2302	GLS	GLS-2		ES2
C11	3032	EGFR	EGFR-1	BRDN0001054960	ES2
C12	2272	GLS	GLS-1		ES2
C13	2232	EGFR	EGFR-2	BRDN0001054761	ES2
C14	2402	EMPTY	EMPTY		ES2
C15	2323	ERBB3	ERBB3-1	BRDN0001054818	ES2
C16	2404	EMPTY	EMPTY		ES2
C17	2486	ERBB3	ERBB3-2	BRDN0001054867	ES2
C18	1771	ERBB2	ERBB2-2		ES2
C19	1165	ITGAV	ITGAV-1	BRDN0001052092	ES2
C20	1957	ERBB2	ERBB2-1		ES2
C21	1046	ITGAV	ITGAV-2	BRDN0001052667	ES2
C22	1614	EGLN1	EGLN1-9		ES2
C23	2267	JAK3	JAK3-1	BRDN0001065886	ES2
C24	1561	EGLN1	EGLN1-8		ES2
D01	1876	Chr2	Chr2-1		ES2
D02	2921	PPIB	PPIB-2		ES2
D03	2459	POLR2D	POLR2D-2		ES2
D04	1054	EMPTY	EMPTY		ES2
D05	3317	Chr2	Chr2-4		ES2
D06	537	PSMA1	PSMA1-2		ES2
D07	1517	PSMA1	PSMA1-1		ES2
D08	2759	Chr2	Chr2-5		ES2
D09	3444	PRDX1	PRDX1-1		ES2
D10	1199	ORC4	ORC4-1		ES2
D11	2135	PRDX1	PRDX1-2		ES2
D12	2828	Chr2	Chr2-2		ES2
D13	2807	Luc	Luc-1	BRDN0000585635	ES2
D14	1201	YAP1	YAP1-2		ES2
D15	1914	Luc	Luc-2	BRDN0000585515	ES2
D16	1337	YAP1	YAP1-1		ES2
D17	2345	EMPTY	EMPTY		ES2
D18	1185	EMPTY	EMPTY		ES2
D19	2533	EMPTY	EMPTY		ES2
D20	1620	EMPTY	EMPTY		ES2
D21	2177	PPIB	PPIB-1		ES2
D22	2651	LacZ	LacZ-2	BRDN0000585793	ES2
D23	2077	EMPTY	EMPTY		ES2
D24	2373	LacZ	LacZ-2	BRDN0000585793	ES2
E01	1801	JAK3	JAK3-2	BRDN0001065702	ES2
E02	1583	COX5B	COX5B-2		ES2
