Image_Metadata_Well	SQ00014612	gene_name	pert_name	broad_sample	cell_line
A01	5196	EMPTY	EMPTY		A549
A02	4991	MCL1	MCL1-5		A549
A03	4434	AKT1	AKT1-1	BRDN0001054908	A549
A04	5762	KRAS	KRAS-2B		A549
A05	5010	AKT1	AKT1-2	BRDN0001055115	A549
A06	4865	EMPTY	EMPTY		A549
A07	3755	BRAF1	BRAF1-1	BRDN0000986682	A549
A08	4095	EMPTY	EMPTY		A549
A09	4407	BRAF	BRAF-2	BRDN0000986702	A549
A10	1996	MYC	MYC-2		A549
A11	3921	BRD4	BRD4-1	BRDN0000733514	A549
A12	1909	MYC	MYC-1		A549
A13	3880	BRD4	BRD4-2	BRDN0000733577	A549
A14	4564	MCL1	MCL1-2		A549
A15	3404	CDK4	CDK4-1	BRDN0001053869	A549
A16	3563	BCL2L2	BCL2L2-4		A549
A17	3606	CDK4	CDK4-2	BRDN0001053895	A549
A18	3507	MAPK1	MAPK1-2		A549
A19	3808	CHEK2	CHEK2-1	BRDN0000586287	A549
A20	3812	MAPK1	MAPK1-1		A549
A21	4875	CHEK2	CHEK2-2	BRDN0000585854	A549
A22	2886	KRAS	KRAS-2A		A549
A23	4391	CSNK1A1	CSNK1A1-1	BRDN0001065659	A549
A24	3676	KRAS	KRAS-1		A549
B01	3878	Chr2	Chr2-1		A549
B02	3578	PPIB	PPIB-2		A549
B03	2611	POLR2D	POLR2D-2		A549
B04	4998	EMPTY	EMPTY		A549
B05	4919	Chr2	Chr2-4		A549
B06	2278	PSMA1	PSMA1-2		A549
B07	3615	PSMA1	PSMA1-1		A549
B08	3785	Chr2	Chr2-5		A549
B09	4660	EMPTY	EMPTY		A549
B10	3520	ORC4	ORC4-1		A549
B11	4852	EMPTY	EMPTY		A549
B12	3745	Chr2	Chr2-2		A549
B13	3417	Luc	Luc-1	BRDN0000585635	A549
B14	4564	EMPTY	EMPTY		A549
B15	4820	Luc	Luc-1	BRDN0000585635	A549
B16	4078	EMPTY	EMPTY		A549
B17	3866	EMPTY	EMPTY		A549
B18	4125	EMPTY	EMPTY		A549
B19	4221	EMPTY	EMPTY		A549
B20	3962	EMPTY	EMPTY		A549
B21	4547	PPIB	PPIB-1		A549
B22	3977	LacZ	LacZ-3	BRDN0000585800	A549
B23	4124	EMPTY	EMPTY		A549
B24	3758	LacZ	LacZ-3	BRDN0000585800	A549
C01	5576	CSNK1A1	CSNK1A1-2	BRDN0000585480	A549
C02	4851	HIF1a	HIF1a-2		A549
C03	3364	CTNNB1	CTNNB1-1	BRDN0001065286	A549
C04	4484	HIF1a	HIF1a-1		A549
C05	5042	CTNNB1	CTNNB1-2	BRDN0000579714	A549
C06	3824	GPX4	GPX4-2		A549
C07	3282	DOT1L	DOT1L-1	BRDN0001057300	A549
C08	3387	GPX4	GPX4-1		A549
