Image_Metadata_Well	SQ00014615	gene_name	pert_name	broad_sample	cell_line
A01	3323	EMPTY	EMPTY		ES2
A02	2771	MCL1	MCL1-5		ES2
A03	2506	AKT1	AKT1-1	BRDN0001054908	ES2
A04	1855	KRAS	KRAS-2B		ES2
A05	2769	AKT1	AKT1-2	BRDN0001055115	ES2
A06	2578	EMPTY	EMPTY		ES2
A07	2833	BRAF1	BRAF1-1	BRDN0000986682	ES2
A08	2554	EMPTY	EMPTY		ES2
A09	2387	BRAF	BRAF-2	BRDN0000986702	ES2
A10	1663	MYC	MYC-2		ES2
A11	1682	BRD4	BRD4-1	BRDN0000733514	ES2
A12	1199	MYC	MYC-1		ES2
A13	1372	BRD4	BRD4-2	BRDN0000733577	ES2
A14	2135	MCL1	MCL1-2		ES2
A15	1407	CDK4	CDK4-1	BRDN0001053869	ES2
A16	2324	BCL2L2	BCL2L2-4		ES2
A17	597	CDK4	CDK4-2	BRDN0001053895	ES2
A18	1976	MAPK1	MAPK1-2		ES2
A19	2832	CHEK2	CHEK2-1	BRDN0000586287	ES2
A20	1889	MAPK1	MAPK1-1		ES2
A21	1960	CHEK2	CHEK2-2	BRDN0000585854	ES2
A22	2319	KRAS	KRAS-2A		ES2
A23	2365	CSNK1A1	CSNK1A1-1	BRDN0001065659	ES2
A24	2079	KRAS	KRAS-1		ES2
B01	1778	Chr2	Chr2-1		ES2
B02	1765	PPIB	PPIB-2		ES2
B03	981	POLR2D	POLR2D-2		ES2
B04	2104	EMPTY	EMPTY		ES2
B05	2839	Chr2	Chr2-4		ES2
B06	1092	PSMA1	PSMA1-2		ES2
B07	1187	PSMA1	PSMA1-1		ES2
B08	1967	Chr2	Chr2-5		ES2
B09	1754	EMPTY	EMPTY		ES2
B10	1858	ORC4	ORC4-1		ES2
B11	2629	EMPTY	EMPTY		ES2
B12	2175	Chr2	Chr2-2		ES2
B13	2512	Luc	Luc-1	BRDN0000585635	ES2
B14	2261	EMPTY	EMPTY		ES2
B15	2640	Luc	Luc-1	BRDN0000585635	ES2
B16	2125	EMPTY	EMPTY		ES2
B17	1990	EMPTY	EMPTY		ES2
B18	2052	EMPTY	EMPTY		ES2
B19	1995	EMPTY	EMPTY		ES2
B20	2511	EMPTY	EMPTY		ES2
B21	1485	PPIB	PPIB-1		ES2
B22	2132	LacZ	LacZ-3	BRDN0000585800	ES2
B23	2315	EMPTY	EMPTY		ES2
B24	1901	LacZ	LacZ-3	BRDN0000585800	ES2
C01	3163	CSNK1A1	CSNK1A1-2	BRDN0000585480	ES2
C02	2387	HIF1a	HIF1a-2		ES2
C03	3207	CTNNB1	CTNNB1-1	BRDN0001065286	ES2
C04	2540	HIF1a	HIF1a-1		ES2
C05	2647	CTNNB1	CTNNB1-2	BRDN0000579714	ES2
C06	342	GPX4	GPX4-2		ES2
C07	2562	DOT1L	DOT1L-1	BRDN0001057300	ES2
C08	320	GPX4	GPX4-1		ES2
C09	3167	DOT1L	DOT1L-2	BRDN0001057286	ES2
C10	2194	GLS	GLS-2		ES2
C11	2351	EGFR	EGFR-1	BRDN0001054960	ES2
C12	2511	GLS	GLS-1		ES2
C13	2400	EGFR	EGFR-2	BRDN0001054761	ES2
C14	2878	EMPTY	EMPTY		ES2
C15	2328	ERBB3	ERBB3-1	BRDN0001054818	ES2
C16	3587	EMPTY	EMPTY		ES2
C17	2266	ERBB3	ERBB3-2	BRDN0001054867	ES2
C18	2185	ERBB2	ERBB2-2		ES2
C19	1036	ITGAV	ITGAV-1	BRDN0001052092	ES2
C20	2041	ERBB2	ERBB2-1		ES2
C21	919	ITGAV	ITGAV-2	BRDN0001052667	ES2
C22	1367	EGLN1	EGLN1-9		ES2
C23	1893	JAK3	JAK3-1	BRDN0001065886	ES2
C24	1670	EGLN1	EGLN1-8		ES2
D01	1815	Chr2	Chr2-1		ES2
D02	1694	PPIB	PPIB-2		ES2
D03	773	POLR2D	POLR2D-2		ES2
D04	1525	EMPTY	EMPTY		ES2
D05	2549	Chr2	Chr2-4		ES2
D06	1039	PSMA1	PSMA1-2		ES2
D07	1251	PSMA1	PSMA1-1		ES2
D08	2241	Chr2	Chr2-5		ES2
D09	2405	PRDX1	PRDX1-1		ES2
D10	1812	ORC4	ORC4-1		ES2
D11	2255	PRDX1	PRDX1-2		ES2
D12	2320	Chr2	Chr2-2		ES2
D13	2584	Luc	Luc-1	BRDN0000585635	ES2
D14	1519	YAP1	YAP1-2		ES2
D15	2156	Luc	Luc-2	BRDN0000585515	ES2
D16	1237	YAP1	YAP1-1		ES2
D17	1678	EMPTY	EMPTY		ES2
D18	2724	EMPTY	EMPTY		ES2
D19	2551	EMPTY	EMPTY		ES2
D20	1537	EMPTY	EMPTY		ES2
D21	1883	PPIB	PPIB-1		ES2
D22	1529	LacZ	LacZ-2	BRDN0000585793	ES2
D23	2237	EMPTY	EMPTY		ES2
D24	2285	LacZ	LacZ-2	BRDN0000585793	ES2
E01	2710	JAK3	JAK3-2	BRDN0001065702	ES2
E02	2305	COX5B	COX5B-2		ES2
E03	703	KIF11	KIF11-1	BRDN0000734411	ES2
E04	1721	COX5B	COX5B-1		ES2
E05	306	KIF11	KIF11-2	BRDN0000734657	ES2
E06	1749	CDK2	CDK2-2		ES2
E07	3134	MTOR	MTOR-1	BRDN0000734637	ES2
E08	1294	CDK2	CDK2-1		ES2
E09	2110	MTOR	MTOR-2	BRDN0000734053	ES2
E10	2208	CCNE1	CCNE1-2		ES2
E11	2005	PIK3CA	PIK3CA-1	BRDN0001054759	ES2
E12	2513	CCNE1	CCNE1-1		ES2
E13	2335	PIK3CA	PIK3CA-2	BRDN0001054804	ES2
E14	610	CCND1	CCND1-2		ES2
E15	2368	RAC1	RAC1-1	BRDN0001062183	ES2
E16	1326	CCND1	CCND1-1		ES2
E17	2999	RAC1	RAC1-2	BRDN0001062199	ES2
E18	2354	BRCA1	BRCA1-2		ES2
E19	2188	RHOA	RHOA-1	BRDN0000990371	ES2
E20	2292	BRCA1	BRCA1-1		ES2
E21	1947	RHOA	RHOA-2	BRDN0000990437	ES2
E22	2232	BCL2L2	BCL2L2-2		ES2
E23	1992	SDHB	SDHB-1	BRDN0000986589	ES2
E24	2085	BCL2L2	BCL2L2-1		ES2
F01	869	POLR2D	POLR2D-1		ES2
F02	1829	EMPTY	EMPTY		ES2
F03	2132	Chr2	Chr2-3		ES2
F04	2354	PPIB	PPIB-2		ES2
F05	2150	ORC4	ORC4-2		ES2
F06	2104	Chr2	Chr2-6		ES2
F07	2943	Chr2	Chr2-6		ES2
F08	1238	ORC4	ORC4-2		ES2
F09	2142	RAF1	RAF1-1		ES2
F10	1172	Chr2	Chr2-3		ES2
F11	2537	RAF1	RAF1-2		ES2
F12	726	POLR2D	POLR2D-1		ES2
