Metadata_gene_name,Metadata_cell_line,correlation,replicate_type,quantile,iterations,cor_method,samples,groups
AKT1,ES2,0.007188009632523661,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ARID1B,ES2,0.26392901373534194,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATF4,ES2,0.5186511946619797,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATP50,ES2,0.2984644958433387,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AURKB,ES2,-0.10626509380727868,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2,ES2,-0.027927503922906174,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2L2,ES2,-0.16474650220279516,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF,ES2,0.8496986376948991,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF1,ES2,0.6781866997266021,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRCA1,ES2,0.2070484516385152,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRD4,ES2,0.7281526438993038,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCND1,ES2,0.8651900562006973,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCNE1,ES2,0.22618759726290388,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK2,ES2,0.7134312155523096,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK4,ES2,0.9325096924804652,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CHEK2,ES2,-0.07449383388711689,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
COX5B,ES2,0.14354171369809018,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CSNK1A1,ES2,0.2806912463856072,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CTNNB1,ES2,0.2870624983110259,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Chr2,ES2,0.14502697259534664,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
DOT1L,ES2,0.2716445134391867,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGFR,ES2,0.3296362197603403,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGLN1,ES2,0.7357153589064895,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EMPTY,ES2,-0.01706980242487659,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB2,ES2,0.4197775192527967,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ERBB3,ES2,0.02333395121304622,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EZH2,ES2,0.5486077142169302,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GLS,ES2,0.29158294509528687,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
GPX4,ES2,0.8925192635834192,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
HIF1a,ES2,0.04664187122282274,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
