Image_Metadata_Well	SQ00014617	gene_name	pert_name	broad_sample	cell_line
A01	2021	EMPTY	EMPTY		HCC44
A02	2365	MCL1	MCL1-5		HCC44
A03	2400	AKT1	AKT1-1	BRDN0001054908	HCC44
A04	2462	KRAS	KRAS-2B		HCC44
A05	2480	AKT1	AKT1-2	BRDN0001055115	HCC44
A06	2350	EMPTY	EMPTY		HCC44
A07	2462	BRAF1	BRAF1-1	BRDN0000986682	HCC44
A08	2538	EMPTY	EMPTY		HCC44
A09	2615	BRAF	BRAF-2	BRDN0000986702	HCC44
A10	1097	MYC	MYC-2		HCC44
A11	2123	BRD4	BRD4-1	BRDN0000733514	HCC44
A12	731	MYC	MYC-1		HCC44
A13	1602	BRD4	BRD4-2	BRDN0000733577	HCC44
A14	2515	MCL1	MCL1-2		HCC44
A15	2145	CDK4	CDK4-1	BRDN0001053869	HCC44
A16	2672	BCL2L2	BCL2L2-4		HCC44
A17	2289	CDK4	CDK4-2	BRDN0001053895	HCC44
A18	2677	MAPK1	MAPK1-2		HCC44
A19	2433	CHEK2	CHEK2-1	BRDN0000586287	HCC44
A20	2490	MAPK1	MAPK1-1		HCC44
A21	2452	CHEK2	CHEK2-2	BRDN0000585854	HCC44
A22	1710	KRAS	KRAS-2A		HCC44
A23	2528	CSNK1A1	CSNK1A1-1	BRDN0001065659	HCC44
A24	1982	KRAS	KRAS-1		HCC44
B01	2139	Chr2	Chr2-1		HCC44
B02	2846	PPIB	PPIB-2		HCC44
B03	1503	POLR2D	POLR2D-2		HCC44
B04	2650	EMPTY	EMPTY		HCC44
B05	2732	Chr2	Chr2-4		HCC44
B06	2101	PSMA1	PSMA1-2		HCC44
B07	1581	PSMA1	PSMA1-1		HCC44
B08	2488	Chr2	Chr2-5		HCC44
B09	2806	EMPTY	EMPTY		HCC44
B10	2507	ORC4	ORC4-1		HCC44
B11	2446	EMPTY	EMPTY		HCC44
B12	2529	Chr2	Chr2-2		HCC44
B13	2343	Luc	Luc-1	BRDN0000585635	HCC44
B14	2799	EMPTY	EMPTY		HCC44
B15	2318	Luc	Luc-1	BRDN0000585635	HCC44
B16	2833	EMPTY	EMPTY		HCC44
B17	2251	EMPTY	EMPTY		HCC44
B18	2833	EMPTY	EMPTY		HCC44
B19	2553	EMPTY	EMPTY		HCC44
B20	2430	EMPTY	EMPTY		HCC44
B21	2402	PPIB	PPIB-1		HCC44
B22	2562	LacZ	LacZ-3	BRDN0000585800	HCC44
B23	2374	EMPTY	EMPTY		HCC44
B24	2432	LacZ	LacZ-3	BRDN0000585800	HCC44
C01	2362	CSNK1A1	CSNK1A1-2	BRDN0000585480	HCC44
C02	2627	HIF1a	HIF1a-2		HCC44
C03	2339	CTNNB1	CTNNB1-1	BRDN0001065286	HCC44
C04	2559	HIF1a	HIF1a-1		HCC44
C05	2661	CTNNB1	CTNNB1-2	BRDN0000579714	HCC44
C06	2808	GPX4	GPX4-2		HCC44
C07	2673	DOT1L	DOT1L-1	BRDN0001057300	HCC44
C08	2541	GPX4	GPX4-1		HCC44
C09	2460	DOT1L	DOT1L-2	BRDN0001057286	HCC44
C10	2355	GLS	GLS-2		HCC44
C11	2731	EGFR	EGFR-1	BRDN0001054960	HCC44
C12	2487	GLS	GLS-1		HCC44
C13	2332	EGFR	EGFR-2	BRDN0001054761	HCC44
C14	2497	EMPTY	EMPTY		HCC44
C15	2473	ERBB3	ERBB3-1	BRDN0001054818	HCC44
C16	2818	EMPTY	EMPTY		HCC44
C17	2258	ERBB3	ERBB3-2	BRDN0001054867	HCC44
C18	2170	ERBB2	ERBB2-2		HCC44
C19	1446	ITGAV	ITGAV-1	BRDN0001052092	HCC44
C20	2377	ERBB2	ERBB2-1		HCC44
C21	1386	ITGAV	ITGAV-2	BRDN0001052667	HCC44
C22	1969	EGLN1	EGLN1-9		HCC44
C23	2558	JAK3	JAK3-1	BRDN0001065886	HCC44
C24	2167	EGLN1	EGLN1-8		HCC44
D01	2068	Chr2	Chr2-1		HCC44
D02	2643	PPIB	PPIB-2		HCC44
D03	1065	POLR2D	POLR2D-2		HCC44
D04	2644	EMPTY	EMPTY		HCC44
D05	2266	Chr2	Chr2-4		HCC44
D06	2233	PSMA1	PSMA1-2		HCC44
D07	1352	PSMA1	PSMA1-1		HCC44
D08	2640	Chr2	Chr2-5		HCC44
D09	2672	PRDX1	PRDX1-1		HCC44
D10	2547	ORC4	ORC4-1		HCC44
D11	2323	PRDX1	PRDX1-2		HCC44
