Image_Metadata_Well	SQ00014616	gene_name	pert_name	broad_sample	cell_line
A01	1839	EMPTY	EMPTY		HCC44
A02	2170	MCL1	MCL1-5		HCC44
A03	2428	AKT1	AKT1-1	BRDN0001054908	HCC44
A04	2559	KRAS	KRAS-2B		HCC44
A05	2562	AKT1	AKT1-2	BRDN0001055115	HCC44
A06	2533	EMPTY	EMPTY		HCC44
A07	2379	BRAF1	BRAF1-1	BRDN0000986682	HCC44
A08	2699	EMPTY	EMPTY		HCC44
A09	2433	BRAF	BRAF-2	BRDN0000986702	HCC44
A10	1151	MYC	MYC-2		HCC44
A11	2253	BRD4	BRD4-1	BRDN0000733514	HCC44
A12	957	MYC	MYC-1		HCC44
A13	1446	BRD4	BRD4-2	BRDN0000733577	HCC44
A14	2021	MCL1	MCL1-2		HCC44
A15	2153	CDK4	CDK4-1	BRDN0001053869	HCC44
A16	2297	BCL2L2	BCL2L2-4		HCC44
A17	2107	CDK4	CDK4-2	BRDN0001053895	HCC44
A18	2175	MAPK1	MAPK1-2		HCC44
A19	2410	CHEK2	CHEK2-1	BRDN0000586287	HCC44
A20	2231	MAPK1	MAPK1-1		HCC44
A21	2140	CHEK2	CHEK2-2	BRDN0000585854	HCC44
A22	1663	KRAS	KRAS-2A		HCC44
A23	2354	CSNK1A1	CSNK1A1-1	BRDN0001065659	HCC44
A24	2045	KRAS	KRAS-1		HCC44
B01	2466	Chr2	Chr2-1		HCC44
B02	2287	PPIB	PPIB-2		HCC44
B03	1219	POLR2D	POLR2D-2		HCC44
B04	2586	EMPTY	EMPTY		HCC44
B05	2202	Chr2	Chr2-4		HCC44
B06	1342	PSMA1	PSMA1-2		HCC44
B07	1766	PSMA1	PSMA1-1		HCC44
B08	2264	Chr2	Chr2-5		HCC44
B09	2323	EMPTY	EMPTY		HCC44
B10	2256	ORC4	ORC4-1		HCC44
B11	2602	EMPTY	EMPTY		HCC44
B12	2385	Chr2	Chr2-2		HCC44
B13	2648	Luc	Luc-1	BRDN0000585635	HCC44
B14	2366	EMPTY	EMPTY		HCC44
B15	2364	Luc	Luc-1	BRDN0000585635	HCC44
B16	2480	EMPTY	EMPTY		HCC44
B17	2053	EMPTY	EMPTY		HCC44
B18	2391	EMPTY	EMPTY		HCC44
B19	2239	EMPTY	EMPTY		HCC44
B20	2286	EMPTY	EMPTY		HCC44
B21	2509	PPIB	PPIB-1		HCC44
B22	2224	LacZ	LacZ-3	BRDN0000585800	HCC44
B23	2395	EMPTY	EMPTY		HCC44
B24	2519	LacZ	LacZ-3	BRDN0000585800	HCC44
C01	1862	CSNK1A1	CSNK1A1-2	BRDN0000585480	HCC44
C02	2350	HIF1a	HIF1a-2		HCC44
