Image_Metadata_Well	SQ00014618	gene_name	pert_name	broad_sample	cell_line
A01	2603	EMPTY	EMPTY		HCC44
A02	2112	MCL1	MCL1-5		HCC44
A03	2275	AKT1	AKT1-1	BRDN0001054908	HCC44
A04	2184	KRAS	KRAS-2B		HCC44
A05	2239	AKT1	AKT1-2	BRDN0001055115	HCC44
A06	2677	EMPTY	EMPTY		HCC44
A07	2265	BRAF1	BRAF1-1	BRDN0000986682	HCC44
A08	2344	EMPTY	EMPTY		HCC44
A09	2251	BRAF	BRAF-2	BRDN0000986702	HCC44
A10	1010	MYC	MYC-2		HCC44
A11	2208	BRD4	BRD4-1	BRDN0000733514	HCC44
A12	1120	MYC	MYC-1		HCC44
A13	1716	BRD4	BRD4-2	BRDN0000733577	HCC44
A14	2327	MCL1	MCL1-2		HCC44
A15	2031	CDK4	CDK4-1	BRDN0001053869	HCC44
A16	2264	BCL2L2	BCL2L2-4		HCC44
A17	2321	CDK4	CDK4-2	BRDN0001053895	HCC44
A18	2444	MAPK1	MAPK1-2		HCC44
A19	2986	CHEK2	CHEK2-1	BRDN0000586287	HCC44
A20	2244	MAPK1	MAPK1-1		HCC44
A21	2407	CHEK2	CHEK2-2	BRDN0000585854	HCC44
A22	1936	KRAS	KRAS-2A		HCC44
A23	2234	CSNK1A1	CSNK1A1-1	BRDN0001065659	HCC44
A24	2202	KRAS	KRAS-1		HCC44
B01	2085	Chr2	Chr2-1		HCC44
B02	2386	PPIB	PPIB-2		HCC44
B03	1251	POLR2D	POLR2D-2		HCC44
B04	2532	EMPTY	EMPTY		HCC44
B05	2585	Chr2	Chr2-4		HCC44
B06	1218	PSMA1	PSMA1-2		HCC44
B07	1607	PSMA1	PSMA1-1		HCC44
B08	2257	Chr2	Chr2-5		HCC44
B09	2277	EMPTY	EMPTY		HCC44
B10	2547	ORC4	ORC4-1		HCC44
B11	2539	EMPTY	EMPTY		HCC44
B12	2643	Chr2	Chr2-2		HCC44
B13	2735	Luc	Luc-1	BRDN0000585635	HCC44
B14	2194	EMPTY	EMPTY		HCC44
B15	2573	Luc	Luc-1	BRDN0000585635	HCC44
B16	2564	EMPTY	EMPTY		HCC44
B17	2857	EMPTY	EMPTY		HCC44
B18	2274	EMPTY	EMPTY		HCC44
B19	2599	EMPTY	EMPTY		HCC44
B20	2415	EMPTY	EMPTY		HCC44
B21	2345	PPIB	PPIB-1		HCC44
B22	2468	LacZ	LacZ-3	BRDN0000585800	HCC44
B23	2345	EMPTY	EMPTY		HCC44
B24	2637	LacZ	LacZ-3	BRDN0000585800	HCC44
C01	2370	CSNK1A1	CSNK1A1-2	BRDN0000585480	HCC44
C02	2387	HIF1a	HIF1a-2		HCC44
C03	2411	CTNNB1	CTNNB1-1	BRDN0001065286	HCC44
C04	2481	HIF1a	HIF1a-1		HCC44
C05	2689	CTNNB1	CTNNB1-2	BRDN0000579714	HCC44
C06	2607	GPX4	GPX4-2		HCC44
C07	2749	DOT1L	DOT1L-1	BRDN0001057300	HCC44
C08	2216	GPX4	GPX4-1		HCC44
C09	2424	DOT1L	DOT1L-2	BRDN0001057286	HCC44
C10	2116	GLS	GLS-2		HCC44
C11	2361	EGFR	EGFR-1	BRDN0001054960	HCC44
C12	2424	GLS	GLS-1		HCC44
C13	2285	EGFR	EGFR-2	BRDN0001054761	HCC44
C14	2544	EMPTY	EMPTY		HCC44
C15	2350	ERBB3	ERBB3-1	BRDN0001054818	HCC44
C16	2342	EMPTY	EMPTY		HCC44
C17	2651	ERBB3	ERBB3-2	BRDN0001054867	HCC44
C18	2234	ERBB2	ERBB2-2		HCC44
C19	1350	ITGAV	ITGAV-1	BRDN0001052092	HCC44
C20	2231	ERBB2	ERBB2-1		HCC44
C21	1244	ITGAV	ITGAV-2	BRDN0001052667	HCC44
C22	2025	EGLN1	EGLN1-9		HCC44
C23	2541	JAK3	JAK3-1	BRDN0001065886	HCC44
C24	2292	EGLN1	EGLN1-8		HCC44
D01	2661	Chr2	Chr2-1		HCC44
D02	1657	PPIB	PPIB-2		HCC44
D03	1074	POLR2D	POLR2D-2		HCC44
D04	2060	EMPTY	EMPTY		HCC44
D05	2338	Chr2	Chr2-4		HCC44
D06	1005	PSMA1	PSMA1-2		HCC44
D07	1431	PSMA1	PSMA1-1		HCC44
D08	2415	Chr2	Chr2-5		HCC44
D09	2708	PRDX1	PRDX1-1		HCC44
D10	2498	ORC4	ORC4-1		HCC44
D11	2484	PRDX1	PRDX1-2		HCC44
D12	2078	Chr2	Chr2-2		HCC44
D13	2384	Luc	Luc-1	BRDN0000585635	HCC44
D14	2238	YAP1	YAP1-2		HCC44
D15	2725	Luc	Luc-2	BRDN0000585515	HCC44
D16	2123	YAP1	YAP1-1		HCC44
D17	2328	EMPTY	EMPTY		HCC44
D18	2374	EMPTY	EMPTY		HCC44
D19	2614	EMPTY	EMPTY		HCC44
D20	1985	EMPTY	EMPTY		HCC44
