Metadata_gene_name	Metadata_pert_name	Metadata_cell_line	n_measurements_paint	data_type_paint	Metadata_Plate	n_measurements_health	data_type_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014611	4	cell_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014611	4	cell_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014612	4	cell_health
AKT1	AKT1-1	A549	8	cell_painting	SQ00014612	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014611	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014611	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014610	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014612	4	cell_health
AKT1	AKT1-2	A549	8	cell_painting	SQ00014612	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014611	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014611	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014612	4	cell_health
ARID1B	ARID1B-1	A549	8	cell_painting	SQ00014612	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014611	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014611	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014610	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014612	4	cell_health
ARID1B	ARID1B-2	A549	8	cell_painting	SQ00014612	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014611	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014611	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014612	4	cell_health
ATF4	ATF4-1	A549	8	cell_painting	SQ00014612	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014611	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014611	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014610	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014612	4	cell_health
ATF4	ATF4-2	A549	8	cell_painting	SQ00014612	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014611	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014611	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014610	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014612	4	cell_health
ATP50	ATP50-1	A549	8	cell_painting	SQ00014612	4	cell_health
ATP50	ATP50-2	A549	8	cell_painting	SQ00014611	4	cell_health
ATP50	ATP50-2	A549	8	cell_painting	SQ00014611	4	cell_health
ATP50	ATP50-2	A549	8	cell_painting	SQ00014610	4	cell_health
ATP50	ATP50-2	A549	8	cell_painting	SQ00014610	4	cell_health
