Image_Metadata_Well	SQ00014611	gene_name	pert_name	broad_sample	cell_line
A01	4335	EMPTY	EMPTY		A549
A02	4129	MCL1	MCL1-5		A549
A03	4895	AKT1	AKT1-1	BRDN0001054908	A549
A04	4261	KRAS	KRAS-2B		A549
A05	4474	AKT1	AKT1-2	BRDN0001055115	A549
A06	4522	EMPTY	EMPTY		A549
A07	4814	BRAF1	BRAF1-1	BRDN0000986682	A549
A08	4217	EMPTY	EMPTY		A549
A09	4254	BRAF	BRAF-2	BRDN0000986702	A549
A10	2214	MYC	MYC-2		A549
A11	4111	BRD4	BRD4-1	BRDN0000733514	A549
A12	2374	MYC	MYC-1		A549
A13	3588	BRD4	BRD4-2	BRDN0000733577	A549
A14	3409	MCL1	MCL1-2		A549
A15	3639	CDK4	CDK4-1	BRDN0001053869	A549
A16	4271	BCL2L2	BCL2L2-4		A549
A17	3760	CDK4	CDK4-2	BRDN0001053895	A549
A18	3462	MAPK1	MAPK1-2		A549
A19	4316	CHEK2	CHEK2-1	BRDN0000586287	A549
A20	3643	MAPK1	MAPK1-1		A549
A21	3935	CHEK2	CHEK2-2	BRDN0000585854	A549
A22	3112	KRAS	KRAS-2A		A549
A23	3803	CSNK1A1	CSNK1A1-1	BRDN0001065659	A549
A24	2851	KRAS	KRAS-1		A549
B01	4094	Chr2	Chr2-1		A549
B02	3253	PPIB	PPIB-2		A549
B03	3795	POLR2D	POLR2D-2		A549
B04	3970	EMPTY	EMPTY		A549
B05	4491	Chr2	Chr2-4		A549
B06	2684	PSMA1	PSMA1-2		A549
B07	3866	PSMA1	PSMA1-1		A549
B08	3687	Chr2	Chr2-5		A549
B09	5433	EMPTY	EMPTY		A549
B10	4226	ORC4	ORC4-1		A549
B11	4973	EMPTY	EMPTY		A549
B12	3799	Chr2	Chr2-2		A549
B13	4935	Luc	Luc-1	BRDN0000585635	A549
B14	3664	EMPTY	EMPTY		A549
B15	4983	Luc	Luc-1	BRDN0000585635	A549
B16	4519	EMPTY	EMPTY		A549
B17	4111	EMPTY	EMPTY		A549
B18	3813	EMPTY	EMPTY		A549
B19	4674	EMPTY	EMPTY		A549
B20	4861	EMPTY	EMPTY		A549
B21	4194	PPIB	PPIB-1		A549
B22	3998	LacZ	LacZ-3	BRDN0000585800	A549
B23	4612	EMPTY	EMPTY		A549
B24	4067	LacZ	LacZ-3	BRDN0000585800	A549
C01	4163	CSNK1A1	CSNK1A1-2	BRDN0000585480	A549
C02	3983	HIF1a	HIF1a-2		A549
C03	4100	CTNNB1	CTNNB1-1	BRDN0001065286	A549
C04	4431	HIF1a	HIF1a-1		A549
C05	5204	CTNNB1	CTNNB1-2	BRDN0000579714	A549
C06	4347	GPX4	GPX4-2		A549
C07	3995	DOT1L	DOT1L-1	BRDN0001057300	A549
C08	4295	GPX4	GPX4-1		A549
C09	5187	DOT1L	DOT1L-2	BRDN0001057286	A549
C10	2419	GLS	GLS-2		A549
