Image_Metadata_Well	SQ00014613	gene_name	pert_name	broad_sample	cell_line
A01	2360	EMPTY	EMPTY		ES2
A02	888	MCL1	MCL1-5		ES2
A03	2294	AKT1	AKT1-1	BRDN0001054908	ES2
A04	3826	KRAS	KRAS-2B		ES2
A05	3303	AKT1	AKT1-2	BRDN0001055115	ES2
A06	1795	EMPTY	EMPTY		ES2
A07	2852	BRAF1	BRAF1-1	BRDN0000986682	ES2
A08	1641	EMPTY	EMPTY		ES2
A09	2632	BRAF	BRAF-2	BRDN0000986702	ES2
A10	736	MYC	MYC-2		ES2
A11	2927	BRD4	BRD4-1	BRDN0000733514	ES2
A12	779	MYC	MYC-1		ES2
A13	2019	BRD4	BRD4-2	BRDN0000733577	ES2
A14	1761	MCL1	MCL1-2		ES2
A15	1025	CDK4	CDK4-1	BRDN0001053869	ES2
A16	2607	BCL2L2	BCL2L2-4		ES2
A17	636	CDK4	CDK4-2	BRDN0001053895	ES2
A18	1681	MAPK1	MAPK1-2		ES2
A19	1538	CHEK2	CHEK2-1	BRDN0000586287	ES2
A20	2004	MAPK1	MAPK1-1		ES2
A21	1881	CHEK2	CHEK2-2	BRDN0000585854	ES2
A22	2185	KRAS	KRAS-2A		ES2
A23	2240	CSNK1A1	CSNK1A1-1	BRDN0001065659	ES2
A24	1520	KRAS	KRAS-1		ES2
B01	1836	Chr2	Chr2-1		ES2
B02	1314	PPIB	PPIB-2		ES2
B03	362	POLR2D	POLR2D-2		ES2
B04	1982	EMPTY	EMPTY		ES2
B05	2372	Chr2	Chr2-4		ES2
B06	1370	PSMA1	PSMA1-2		ES2
B07	1871	PSMA1	PSMA1-1		ES2
B08	2258	Chr2	Chr2-5		ES2
B09	2466	EMPTY	EMPTY		ES2
B10	2168	ORC4	ORC4-1		ES2
B11	2616	EMPTY	EMPTY		ES2
B12	1694	Chr2	Chr2-2		ES2
B13	2520	Luc	Luc-1	BRDN0000585635	ES2
B14	1777	EMPTY	EMPTY		ES2
B15	1197	Luc	Luc-1	BRDN0000585635	ES2
B16	2161	EMPTY	EMPTY		ES2
B17	2017	EMPTY	EMPTY		ES2
B18	1735	EMPTY	EMPTY		ES2
B19	1564	EMPTY	EMPTY		ES2
B20	2064	EMPTY	EMPTY		ES2
B21	2185	PPIB	PPIB-1		ES2
B22	2742	LacZ	LacZ-3	BRDN0000585800	ES2
B23	2381	EMPTY	EMPTY		ES2
B24	1668	LacZ	LacZ-3	BRDN0000585800	ES2
C01	1628	CSNK1A1	CSNK1A1-2	BRDN0000585480	ES2
C02	1537	HIF1a	HIF1a-2		ES2
C03	2482	CTNNB1	CTNNB1-1	BRDN0001065286	ES2
C04	1366	HIF1a	HIF1a-1		ES2
C05	2858	CTNNB1	CTNNB1-2	BRDN0000579714	ES2
C06	2203	GPX4	GPX4-2		ES2
C07	3079	DOT1L	DOT1L-1	BRDN0001057300	ES2
C08	119	GPX4	GPX4-1		ES2
C09	2740	DOT1L	DOT1L-2	BRDN0001057286	ES2
C10	1027	GLS	GLS-2		ES2
C11	2636	EGFR	EGFR-1	BRDN0001054960	ES2
C12	1530	GLS	GLS-1		ES2
C13	2127	EGFR	EGFR-2	BRDN0001054761	ES2
C14	3225	EMPTY	EMPTY		ES2
C15	2099	ERBB3	ERBB3-1	BRDN0001054818	ES2
C16	2755	EMPTY	EMPTY		ES2
C17	2406	ERBB3	ERBB3-2	BRDN0001054867	ES2
