metric	target	original_name	readable_name	feature_type	measurement	assay	description	shuffle_false	shuffle_true
r_two	vb_live_cell_width_length	Live Width:Length	Live Width / Length	viability	shape	dpc	Width/Length	0.8916482691131393	0.006635413206260932
r_two	vb_num_live_cells	# Live Cells	# Live Cells	viability	death	draq	Number of live cells	0.8811215832815805	-5.934792155493085e-6
r_two	vb_live_cell_roundness	Live Cell Roundness	Live Cell Roundness	viability	shape	dpc	Cell Roundness	0.8552068535369309	0.20121255354962642
r_two	vb_live_cell_area	Live Cell Area [um2]	Live Cell Area	viability	shape	dpc	Cell Size	0.8274196074938902	-0.032806563043594306
r_two	cc_cc_n_objects	CC - Number of Objects	CC - # cells	cell_cycle	cell_viability	hoechst	Number of cells selected for cell cycle	0.7778243301546056	0.17817851230126425
r_two	cc_g1_n_objects	G1 - Number of Objects	G1 - # cells	cell_cycle	g1_phase	hoechst_edu_ph3	Number of G1 cells	0.7742466757161691	0.061784929978312864
r_two	cc_all_n_objects	ALL - Number of Objects	ALL - # cells	cell_cycle	cell_viability	hoechst	Total number of cells	0.7714359888421323	-0.11768810170396438
r_two	cc_s_n_objects	edu positive - Number of Objects	S - # cells	cell_cycle	s_phase	edu	Number of S-phase cells	0.7692960042263793	-0.15484288967047033
r_two	cc_s_intensity_nucleus_area_sum	edu positive - Intensity Nucleus Alexa 647 Sum - Sum per Well	S - Intensity Nucleus EdU Sum	cell_cycle	s_phase	hoechst_edu	In S phase cells: how much EdU was incorporated (average total signal per cell)	0.7470967141691363	-0.012870585446362215
r_two	vb_percent_dead_only	% Dead Only	% Dead Only (CASP-; DRAQ7+)	viability	apoptosis	draq_caspase	Fraction of caspase negative in dead cells	0.6512295889274067	-0.03683648309194165
r_two	cc_g1_plus_g2_count	G1+G2	Cell Count - G1+G2	cell_cycle	cell_cycle_count	hoechst_edu_ph3	G1+G2	0.5862255902795875	-0.015468201890804556
r_two	vb_percent_live	% Live	% Live (DRAQ7-; CASP-)	viability	death	draq_caspase	Fraction of live cells (subtract DRAQ7 and Caspase dyes)	0.5684009869065624	-0.013227185997236601
r_two	vb_percent_dead	% Dead	% All Dead (DRAQ7+)	viability	death	draq	Fraction of DRAQ7 positive cells	0.5678560173569609	-0.06131975668477163
r_two	cc_cc_s	CC - edu positive - Mean per Well	CC - % S	cell_cycle	s_phase	edu	Fraction of EdU positive cells (S-phase of cell cycle)	0.5415852326645135	0.1105331336789257
r_two	cc_s_intensity_nucleus_area_mean	edu positive - Intensity Nucleus Alexa 647 Mean - Mean per Well	S - Intensity Nucleus EdU Mean	cell_cycle	s_phase	hoechst_edu	In S phase cells: how much EdU was incorporated (average intensity per cell)	0.4476698318978112	0.19642939709429463
r_two	vb_ros_mean	ROS Mean	ROS	viability	ros	cell_rox	Mean intensity of ROS marker per cell	0.43797159417553067	-0.001661570847424798
r_two	cc_g1_n_spots_h2ax_mean	G1 - Number of Spots - Mean per Well	G1 - # of gH2AX Spots	cell_cycle	dna_damage	hoechst_edu_ph3_gh2ax	In G1 cells: average number of gH2Ax spots	0.3985923837431533	-0.33913855683990013
r_two	cc_all_nucleus_area_mean	ALL - Nucleus Area [um2] - Mean per Well	ALL - Nucleus Area	cell_cycle	shape	hoechst	Average nucleus area	0.3457316978796119	0.06335425975413855
r_two	vb_percent_all_apoptosis	% All Apoptosis	% All Apoptosis (CASP+)	viability	apoptosis	draq_caspase	% Early Apop + % Late Apop + % Dead Only	0.32360134693210185	-0.02559416350040955
r_two	vb_percent_late_apoptosis	% Late Apop	% Late Apoptosis (CASP+; DRAQ7+)	viability	apoptosis	draq_caspase	Fraction of caspase positive in dead cells	0.3217397813652527	-0.015320492222723914
r_two	cc_mitosis_n_objects	pH3 positive, Hoechst condenced (mitosis) - Number of Objects	M - # cells	cell_cycle	mitosis	hoechst_edu_ph3	Number of M cells	0.2768722923108068	-0.18979266163482467
r_two	cc_cc_g1	CC - G1 - Mean per Well	CC - % G1	cell_cycle	g1_phase	hoechst_edu_ph3	Fraction of G1 cells	0.259383739110591	0.4163386590520657
r_two	cc_polynuclear_n_objects	large not round (polynuclear) - Number of Objects	Polynuclear - # cells	cell_cycle	shape	hoechst	Number of late polynuclear cells	0.24971180981601193	-0.17158157196743917
