metric	target	original_name	readable_name	feature_type	measurement	assay	description	shuffle_false	shuffle_true
r_two	vb_live_cell_width_length	Live Width:Length	Live Width / Length	viability	shape	dpc	Width/Length	0.8507786949300655	0.16392883999001917
r_two	vb_num_live_cells	# Live Cells	# Live Cells	viability	death	draq	Number of live cells	0.8281501708977729	-0.007833513412792037
r_two	vb_live_cell_area	Live Cell Area [um2]	Live Cell Area	viability	shape	dpc	Cell Size	0.7958458224525939	0.04824278300055007
r_two	vb_live_cell_roundness	Live Cell Roundness	Live Cell Roundness	viability	shape	dpc	Cell Roundness	0.79011701434753	0.5750174019815699
r_two	vb_percent_dead	% Dead	% All Dead (DRAQ7+)	viability	death	draq	Fraction of DRAQ7 positive cells	0.773784314155876	-0.3062704890911818
r_two	vb_percent_live	% Live	% Live (DRAQ7-; CASP-)	viability	death	draq_caspase	Fraction of live cells (subtract DRAQ7 and Caspase dyes)	0.7734782086301547	-0.013383388863913437
r_two	cc_cc_n_objects	CC - Number of Objects	CC - # cells	cell_cycle	cell_viability	hoechst	Number of cells selected for cell cycle	0.7713989063620091	0.12968828114756248
r_two	cc_g1_n_objects	G1 - Number of Objects	G1 - # cells	cell_cycle	g1_phase	hoechst_edu_ph3	Number of G1 cells	0.7647446726857277	0.05206582195984155
r_two	cc_s_n_objects	edu positive - Number of Objects	S - # cells	cell_cycle	s_phase	edu	Number of S-phase cells	0.7477528413185601	0.27911929236201916
r_two	cc_s_intensity_nucleus_area_sum	edu positive - Intensity Nucleus Alexa 647 Sum - Sum per Well	S - Intensity Nucleus EdU Sum	cell_cycle	s_phase	hoechst_edu	In S phase cells: how much EdU was incorporated (average total signal per cell)	0.7439263564615619	-0.02683071083396138
r_two	cc_all_n_objects	ALL - Number of Objects	ALL - # cells	cell_cycle	cell_viability	hoechst	Total number of cells	0.7369669747181627	-0.47680776919872314
r_two	vb_percent_dead_only	% Dead Only	% Dead Only (CASP-; DRAQ7+)	viability	apoptosis	draq_caspase	Fraction of caspase negative in dead cells	0.6898106750884712	-0.1285820868769494
r_two	cc_g1_plus_g2_count	G1+G2	Cell Count - G1+G2	cell_cycle	cell_cycle_count	hoechst_edu_ph3	G1+G2	0.6581441615788987	-0.20288160011918843
r_two	cc_cc_s	CC - edu positive - Mean per Well	CC - % S	cell_cycle	s_phase	edu	Fraction of EdU positive cells (S-phase of cell cycle)	0.641572458335838	-0.22086749133420702
r_two	vb_ros_mean	ROS Mean	ROS	viability	ros	cell_rox	Mean intensity of ROS marker per cell	0.5084152931334645	0.004847294566197369
r_two	cc_s_intensity_nucleus_area_mean	edu positive - Intensity Nucleus Alexa 647 Mean - Mean per Well	S - Intensity Nucleus EdU Mean	cell_cycle	s_phase	hoechst_edu	In S phase cells: how much EdU was incorporated (average intensity per cell)	0.4958510135494927	0.2592098740434441
r_two	vb_percent_all_apoptosis	% All Apoptosis	% All Apoptosis (CASP+)	viability	apoptosis	draq_caspase	% Early Apop + % Late Apop + % Dead Only	0.3821665967477028	-0.20203896139123212
r_two	cc_cc_g1	CC - G1 - Mean per Well	CC - % G1	cell_cycle	g1_phase	hoechst_edu_ph3	Fraction of G1 cells	0.3405206264742545	0.48953543614101724
r_two	cc_all_nucleus_area_mean	ALL - Nucleus Area [um2] - Mean per Well	ALL - Nucleus Area	cell_cycle	shape	hoechst	Average nucleus area	0.32326308132229553	-0.2800142238387029
r_two	cc_polynuclear_n_objects	large not round (polynuclear) - Number of Objects	Polynuclear - # cells	cell_cycle	shape	hoechst	Number of late polynuclear cells	0.30829049852892876	-0.045915628907473804
r_two	cc_mitosis_n_objects	pH3 positive, Hoechst condenced (mitosis) - Number of Objects	M - # cells	cell_cycle	mitosis	hoechst_edu_ph3	Number of M cells	0.30663749447123434	-0.2120990040160815
r_two	vb_percent_late_apoptosis	% Late Apop	% Late Apoptosis (CASP+; DRAQ7+)	viability	apoptosis	draq_caspase	Fraction of caspase positive in dead cells	0.2865668892983263	-7.7562249948393e-4
r_two	cc_early_mitosis_n_objects	G2+pH3 (Early mitiosis) - Number of Objects	early M - # cells	cell_cycle	early_mitosis	hoechst_edu_ph3	Number of early M cells	0.2768240797562075	-0.08796493161066321
