gene_name	pert_name	broad_sample	cell_process	cell_health_data	cell_painting_data	A549_ctg_efficiency	ES2_ctg_efficiency	HCC44_ctg_efficiency
AKT1	AKT1-1	BRDN0001054908	PIK3CA	True	True	0.9196903834748413	1.057226761203872	1.0226697268825773
AKT1	AKT1-2	BRDN0001055115	PIK3CA	True	True	0.842040270026589	0.9570052450648152	0.9300254262053249
ARID1B	ARID1B-1		Chromatin Modifiers	True	True	0.9475211982976288	1.059419155620743	1.0265305021777729
ARID1B	ARID1B-2		Chromatin Modifiers	True	True	1.0729522654613604	0.9705962886202091	0.9654754927614297
ATF4	ATF4-1		ER Stress/UPR	True	True	0.964266050509559	1.056071115295156	0.8536811167386844
ATF4	ATF4-2		ER Stress/UPR	True	True	0.8911720205592423	0.9876677465413481	0.9393635356907937
ATP50	ATP50-1			True	True	1.1027880103310876	0.9479818817837413	0.9871572065024147
ATP50	ATP50-2			True	True	1.0019068290359683	1.0165144013508545	0.9787711525963361
AURKB	AURKB-2		Cell Cycle	True	True	0.2491156143547409	0.6102199352072484	0.6583667117482541
BCL2	BCL2-1		Apoptosis	True	True	1.040130306282277	1.1723715540682944	1.2514113362792627
BCL2	BCL2-2		Apoptosis	True	True	0.8453072783594795	1.1374569467936864	1.1601807580855394
BCL2L2	BCL2L2-1		Apoptosis	True	True	0.9102486383730986	1.096200298493188	1.33446333193592
BCL2L2	BCL2L2-2		Apoptosis	True	True	0.8995593270656631	0.9639541548673237	1.0446514558601352
BCL2L2	BCL2L2-4		Apoptosis	True	True	0.9377703701213688	0.9823944849685879	0.7286975735800529
BRAF	BRAF-2	BRDN0000986702	MAPK	True	True	0.9498963231452456	0.9960809733393834	0.988180448523962
BRAF1	BRAF1-1	BRDN0000986682		True	True	0.7637686762861322	0.957670448626281	1.0035277460223813
BRCA1	BRCA1-1		DNA Damage	True	True	0.9553190104615703	1.0189830078279212	0.9229919444634053
BRCA1	BRCA1-2		DNA Damage	True	True	1.1714169549457667	0.9624748137435037	1.1753984483956275
BRD4	BRD4-1	BRDN0000733514	Chromatin Modifiers	True	True	1.0036000242123675	1.0010435738049277	0.8016677853420472
BRD4	BRD4-2	BRDN0000733577	Chromatin Modifiers	True	True	0.9276836302383749	1.1513812299402577	1.125729855751703
