Metadata_Plate_Map_Name,Metadata_Well,Metadata_gene_name,Metadata_pert_name,Metadata_broad_sample,Metadata_cell_line,Metadata_pert_id,Metadata_pert_mfc_id,Metadata_cell_id,Metadata_broad_sample_type,Metadata_pert_type,correlation
DEPENDENCIES1_ES2,A02,MCL1,MCL1-5,NA,ES2,NA,NA,unknown,trt,trt,0.3184648920293747
DEPENDENCIES1_ES2,A03,AKT1,AKT1-1,BRDN0001054908,ES2,NA,BRDN0001054908,unknown,trt,trt,0.3937903577870407
DEPENDENCIES1_ES2,A04,KRAS,KRAS-2B,NA,ES2,NA,NA,unknown,trt,trt,0.003918268159569884
DEPENDENCIES1_ES2,A05,AKT1,AKT1-2,BRDN0001055115,ES2,NA,BRDN0001055115,unknown,trt,trt,0.23760729722606402
DEPENDENCIES1_ES2,A07,BRAF1,BRAF1-1,BRDN0000986682,ES2,NA,BRDN0000986682,unknown,trt,trt,0.42302546697288423
DEPENDENCIES1_ES2,A09,BRAF,BRAF-2,BRDN0000986702,ES2,NA,BRDN0000986702,unknown,trt,trt,0.4615441165253393
DEPENDENCIES1_ES2,A10,MYC,MYC-2,NA,ES2,NA,NA,unknown,trt,trt,0.8335132296720161
DEPENDENCIES1_ES2,A11,BRD4,BRD4-1,BRDN0000733514,ES2,NA,BRDN0000733514,unknown,trt,trt,-0.3677503720879861
DEPENDENCIES1_ES2,A12,MYC,MYC-1,NA,ES2,NA,NA,unknown,trt,trt,0.9254192305978429
DEPENDENCIES1_ES2,A13,BRD4,BRD4-2,BRDN0000733577,ES2,NA,BRDN0000733577,unknown,trt,trt,0.049191785804005246
DEPENDENCIES1_ES2,A14,MCL1,MCL1-2,NA,ES2,NA,NA,unknown,trt,trt,0.09556440631083435
DEPENDENCIES1_ES2,A15,CDK4,CDK4-1,BRDN0001053869,ES2,NA,BRDN0001053869,unknown,trt,trt,0.8479605826647757
DEPENDENCIES1_ES2,A16,BCL2L2,BCL2L2-4,NA,ES2,NA,NA,unknown,trt,trt,0.008568528976633778
DEPENDENCIES1_ES2,A17,CDK4,CDK4-2,BRDN0001053895,ES2,NA,BRDN0001053895,unknown,trt,trt,0.9139538942532532
DEPENDENCIES1_ES2,A18,MAPK1,MAPK1-2,NA,ES2,NA,NA,unknown,trt,trt,0.8210734942249093
DEPENDENCIES1_ES2,A19,CHEK2,CHEK2-1,BRDN0000586287,ES2,NA,BRDN0000586287,unknown,trt,trt,0.0332144814850635
DEPENDENCIES1_ES2,A20,MAPK1,MAPK1-1,NA,ES2,NA,NA,unknown,trt,trt,0.7293901106618831
DEPENDENCIES1_ES2,A21,CHEK2,CHEK2-2,BRDN0000585854,ES2,NA,BRDN0000585854,unknown,trt,trt,0.37700738083326224
DEPENDENCIES1_ES2,A22,KRAS,KRAS-2A,NA,ES2,NA,NA,unknown,trt,trt,0.34295330249859374
DEPENDENCIES1_ES2,A23,CSNK1A1,CSNK1A1-1,BRDN0001065659,ES2,NA,BRDN0001065659,unknown,trt,trt,0.7131149799413838
DEPENDENCIES1_ES2,A24,KRAS,KRAS-1,NA,ES2,NA,NA,unknown,trt,trt,0.403527760829548
DEPENDENCIES1_ES2,B01,Chr2,Chr2-1,NA,ES2,NA,NA,unknown,trt,trt,0.15081386735988417
DEPENDENCIES1_ES2,B02,PPIB,PPIB-2,NA,ES2,NA,NA,unknown,trt,trt,0.5898845255188284
DEPENDENCIES1_ES2,B03,POLR2D,POLR2D-2,NA,ES2,NA,NA,unknown,trt,trt,0.736346863560369
DEPENDENCIES1_ES2,B05,Chr2,Chr2-4,NA,ES2,NA,NA,unknown,trt,trt,0.5469570664715064
DEPENDENCIES1_ES2,B06,PSMA1,PSMA1-2,NA,ES2,NA,NA,unknown,trt,trt,0.8153358100917569
DEPENDENCIES1_ES2,B07,PSMA1,PSMA1-1,NA,ES2,NA,NA,unknown,trt,trt,0.5346702305254708
DEPENDENCIES1_ES2,B08,Chr2,Chr2-5,NA,ES2,NA,NA,unknown,trt,trt,0.20658774764599122
DEPENDENCIES1_ES2,B10,ORC4,ORC4-1,NA,ES2,NA,NA,unknown,trt,trt,0.3672654106581237
DEPENDENCIES1_ES2,B12,Chr2,Chr2-2,NA,ES2,NA,NA,unknown,trt,trt,-0.0833239234766782
DEPENDENCIES1_ES2,B13,Luc,Luc-1,BRDN0000585635,ES2,NA,BRDN0000585635,unknown,trt,trt,0.20375147140190564
DEPENDENCIES1_ES2,B15,Luc,Luc-1,BRDN0000585635,ES2,NA,BRDN0000585635,unknown,trt,trt,0.030401434497107457
DEPENDENCIES1_ES2,B21,PPIB,PPIB-1,NA,ES2,NA,NA,unknown,trt,trt,0.4033722779962744
DEPENDENCIES1_ES2,B22,LacZ,LacZ-3,BRDN0000585800,ES2,NA,BRDN0000585800,unknown,trt,trt,0.34015447523480635
DEPENDENCIES1_ES2,B24,LacZ,LacZ-3,BRDN0000585800,ES2,NA,BRDN0000585800,unknown,trt,trt,0.5474005349882477
DEPENDENCIES1_ES2,C01,CSNK1A1,CSNK1A1-2,BRDN0000585480,ES2,NA,BRDN0000585480,unknown,trt,trt,0.33175751589965274
DEPENDENCIES1_ES2,C02,HIF1a,HIF1a-2,NA,ES2,NA,NA,unknown,trt,trt,0.4938502145249525
DEPENDENCIES1_ES2,C03,CTNNB1,CTNNB1-1,BRDN0001065286,ES2,NA,BRDN0001065286,unknown,trt,trt,0.734157701463077
DEPENDENCIES1_ES2,C04,HIF1a,HIF1a-1,NA,ES2,NA,NA,unknown,trt,trt,0.30779316644382204
DEPENDENCIES1_ES2,C05,CTNNB1,CTNNB1-2,BRDN0000579714,ES2,NA,BRDN0000579714,unknown,trt,trt,0.2603454248403789
DEPENDENCIES1_ES2,C06,GPX4,GPX4-2,NA,ES2,NA,NA,unknown,trt,trt,0.49886998839238805
DEPENDENCIES1_ES2,C07,DOT1L,DOT1L-1,BRDN0001057300,ES2,NA,BRDN0001057300,unknown,trt,trt,0.28337543020100753
DEPENDENCIES1_ES2,C08,GPX4,GPX4-1,NA,ES2,NA,NA,unknown,trt,trt,0.885064917096895
DEPENDENCIES1_ES2,C09,DOT1L,DOT1L-2,BRDN0001057286,ES2,NA,BRDN0001057286,unknown,trt,trt,0.5184042164681715
DEPENDENCIES1_ES2,C10,GLS,GLS-2,NA,ES2,NA,NA,unknown,trt,trt,0.4064267879996871
DEPENDENCIES1_ES2,C11,EGFR,EGFR-1,BRDN0001054960,ES2,NA,BRDN0001054960,unknown,trt,trt,0.20026393348961202
DEPENDENCIES1_ES2,C12,GLS,GLS-1,NA,ES2,NA,NA,unknown,trt,trt,0.25731520177863426
DEPENDENCIES1_ES2,C13,EGFR,EGFR-2,BRDN0001054761,ES2,NA,BRDN0001054761,unknown,trt,trt,0.606625482290978
DEPENDENCIES1_ES2,C15,ERBB3,ERBB3-1,BRDN0001054818,ES2,NA,BRDN0001054818,unknown,trt,trt,0.4559905277060842
DEPENDENCIES1_ES2,C17,ERBB3,ERBB3-2,BRDN0001054867,ES2,NA,BRDN0001054867,unknown,trt,trt,0.31888199600227624
DEPENDENCIES1_ES2,C18,ERBB2,ERBB2-2,NA,ES2,NA,NA,unknown,trt,trt,0.6734373126545032
DEPENDENCIES1_ES2,C19,ITGAV,ITGAV-1,BRDN0001052092,ES2,NA,BRDN0001052092,unknown,trt,trt,0.9421004380718481
DEPENDENCIES1_ES2,C20,ERBB2,ERBB2-1,NA,ES2,NA,NA,unknown,trt,trt,0.26760874983901684
DEPENDENCIES1_ES2,C21,ITGAV,ITGAV-2,BRDN0001052667,ES2,NA,BRDN0001052667,unknown,trt,trt,0.9200494072431162
DEPENDENCIES1_ES2,C22,EGLN1,EGLN1-9,NA,ES2,NA,NA,unknown,trt,trt,0.879967179973121
DEPENDENCIES1_ES2,C23,JAK3,JAK3-1,BRDN0001065886,ES2,NA,BRDN0001065886,unknown,trt,trt,0.3095229066287844
DEPENDENCIES1_ES2,C24,EGLN1,EGLN1-8,NA,ES2,NA,NA,unknown,trt,trt,0.7570875601335532
DEPENDENCIES1_ES2,D01,Chr2,Chr2-1,NA,ES2,NA,NA,unknown,trt,trt,0.7225348128540963
DEPENDENCIES1_ES2,D02,PPIB,PPIB-2,NA,ES2,NA,NA,unknown,trt,trt,0.069684513505068435
DEPENDENCIES1_ES2,D03,POLR2D,POLR2D-2,NA,ES2,NA,NA,unknown,trt,trt,0.5128108113288575
