WellRow,WellCol,well_position,gene_name,pert_name,broad_sample,cell_line
A,1,A01,EMPTY,EMPTY,NA,HCC44
A,2,A02,MCL1,MCL1-5,NA,HCC44
A,3,A03,AKT1,AKT1-1,BRDN0001054908,HCC44
A,4,A04,KRAS,KRAS-2B,NA,HCC44
A,5,A05,AKT1,AKT1-2,BRDN0001055115,HCC44
A,6,A06,EMPTY,EMPTY,NA,HCC44
A,7,A07,BRAF1,BRAF1-1,BRDN0000986682,HCC44
A,8,A08,EMPTY,EMPTY,NA,HCC44
A,9,A09,BRAF,BRAF-2,BRDN0000986702,HCC44
A,10,A10,MYC,MYC-2,NA,HCC44
A,11,A11,BRD4,BRD4-1,BRDN0000733514,HCC44
A,12,A12,MYC,MYC-1,NA,HCC44
A,13,A13,BRD4,BRD4-2,BRDN0000733577,HCC44
A,14,A14,MCL1,MCL1-2,NA,HCC44
A,15,A15,CDK4,CDK4-1,BRDN0001053869,HCC44
A,16,A16,BCL2L2,BCL2L2-4,NA,HCC44
A,17,A17,CDK4,CDK4-2,BRDN0001053895,HCC44
A,18,A18,MAPK1,MAPK1-2,NA,HCC44
A,19,A19,CHEK2,CHEK2-1,BRDN0000586287,HCC44
A,20,A20,MAPK1,MAPK1-1,NA,HCC44
A,21,A21,CHEK2,CHEK2-2,BRDN0000585854,HCC44
A,22,A22,KRAS,KRAS-2A,NA,HCC44
A,23,A23,CSNK1A1,CSNK1A1-1,BRDN0001065659,HCC44
A,24,A24,KRAS,KRAS-1,NA,HCC44
B,1,B01,Chr2,Chr2-1,NA,HCC44
B,2,B02,PPIB,PPIB-2,NA,HCC44
B,3,B03,POLR2D,POLR2D-2,NA,HCC44
B,4,B04,EMPTY,EMPTY,NA,HCC44
B,5,B05,Chr2,Chr2-4,NA,HCC44
B,6,B06,PSMA1,PSMA1-2,NA,HCC44
B,7,B07,PSMA1,PSMA1-1,NA,HCC44
B,8,B08,Chr2,Chr2-5,NA,HCC44
B,9,B09,EMPTY,EMPTY,NA,HCC44
B,10,B10,ORC4,ORC4-1,NA,HCC44
B,11,B11,EMPTY,EMPTY,NA,HCC44
B,12,B12,Chr2,Chr2-2,NA,HCC44
B,13,B13,Luc,Luc-1,BRDN0000585635,HCC44
B,14,B14,EMPTY,EMPTY,NA,HCC44
