pert_id	pert_iname	pert_type	moa
DMSO	DMSO	ctl_vehicle	Control vehicle
BRD-K25114078	aminoguanidine	trt_cp	Nitric oxide synthase inhibitor
BRD-K25204779	pritelivir	trt_cp	Helicase primase inhibitor
BRD-K25361343	batimastat	trt_cp	Matrix metalloprotease inhibitor
BRD-K25140590	cx516	trt_cp	Glutamate receptor modulator
BRD-A25234499	aminoglutethimide	trt_cp	Glucocorticoid receptor antagonist
BRD-K25394294	oxaprozin	trt_cp	Cyclooxygenase inhibitor
BRD-K25650355	physostigmine	trt_cp	Cholinesterase inhibitor|Acetylcholinesterase inhibitor
BRD-K25943794	blonanserin	trt_cp	Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-A26032986	zaldaride	trt_cp	Calmodulin antagonist
BRD-K50691590	bortezomib	trt_cp	NFkB pathway inhibitor|Proteasome inhibitor
BRD-K25837718	josamycin	trt_cp	Bacterial 50S ribosomal subunit inhibitor
BRD-K26011976	licochalcone-a	trt_cp	Topoisomerase inhibitor
BRD-A26095496	clobetasol	trt_cp	Glucocorticoid receptor agonist
BRD-A26334849	propafenone	trt_cp	Antiarrhythmic
BRD-K26603252	pd153035	trt_cp	EGFR inhibitor
BRD-K26657438	imiquimod	trt_cp	Interferon inducer|TLR agonist
BRD-A26690767	saquinavir	trt_cp	HIV protease inhibitor
BRD-A26711594	nicardipine	trt_cp	Calcium channel blocker
BRD-K26619122	thiocolchicoside	trt_cp	GABA receptor antagonist
BRD-K26701552	tegobuvir	trt_cp	HCV inhibitor|Protease inhibitor
BRD-K26712974	vx-765	trt_cp	NA
BRD-A27376179	lestaurtinib	trt_cp	FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor
BRD-K27938825	asa-404	trt_cp	NA
BRD-K28183345	proguanil	trt_cp	Dihydrofolate reductase inhibitor
BRD-A27732521	tolperisone	trt_cp	Voltage-gated sodium channel blocker
BRD-K27955832	lomeguatrib	trt_cp	O6-alkylguanine-DNA alkyltransferase inhibitor
BRD-K28143534	cyproheptadine	trt_cp	Histamine receptor antagonist
BRD-K28217197	ganaxolone	trt_cp	GABA receptor modulator
BRD-A28467416	pki-179	trt_cp	NA
BRD-A28545468	selegiline	trt_cp	Monoamine oxidase inhibitor
BRD-K28731095	calcitriol	trt_cp	Vitamin D receptor agonist
BRD-K28761891	ramelteon	trt_cp	Melatonin receptor agonist
BRD-K28542495	benzydamine	trt_cp	Prostanoid receptor antagonist
BRD-K28667793	pyrazinamide	trt_cp	Fatty acid synthase inhibitor
BRD-A28787076	inosine	trt_cp	Neurotrophic agent
BRD-K28971625	zd-7114	trt_cp	NA
BRD-K60230970	MG-132	trt_cp	Proteasome inhibitor
BRD-A29289453	PCA-4248	trt_cp	Platelet activating factor receptor antagonist
BRD-K29322660	edoxaban	trt_cp	Coagulation factor inhibitor
BRD-K28984613	dutasteride	trt_cp	5 alpha reductase inhibitor
BRD-A29260609	acebutolol	trt_cp	Adrenergic receptor antagonist
BRD-A29322418	canrenoic-acid	trt_cp	Mineralocorticoid receptor antagonist
BRD-K29359156	ebselen	trt_cp	Cyclooxygenase inhibitor|Glutathione peroxidase agonist|H+/K+-ATPase inhibitor|Nitric oxide synthase inhibitor
BRD-K29582115	ziprasidone	trt_cp	Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K29653726	topiramate	trt_cp	Carbonic anhydrase inhibitor|Glutamate receptor antagonist|Kainate receptor antagonist
BRD-K29673530	hypericin	trt_cp	Tyrosine kinase inhibitor
BRD-A29734509	disopyramide	trt_cp	Sodium channel blocker
BRD-A29623586	anisodamine	trt_cp	Lipid peroxidase inhibitor
BRD-K29656036	mk-8245	trt_cp	NA
BRD-A29731977	17-hydroxyprogesterone-caproate	trt_cp	Progesterone receptor agonist
